"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","ACCT115","FUND OF FINANCIAL ACCOUNTING","002","10001","MR","2:30 PM - 3:50 PM","KUPF 207","Closed","43","43","Seda, Wilson","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10001",""
"202410","ACCT115","FUND OF FINANCIAL ACCOUNTING","004","10002","MR","2:30 PM - 3:50 PM","KUPF 108","Closed","43","43","Lee, Heejae","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10002",""
"202410","ACCT115","FUND OF FINANCIAL ACCOUNTING","MSE","16071","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16071","For The Academy for Math Science & Engineering Students Only"
"202410","ACCT117","PRINCIPLES OF FIN ACCOUNTNG","002","10003","TF","1:00 PM - 2:20 PM","KUPF 104","Closed","43","43","Lee, Heejae","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10003",""
"202410","ACCT117","PRINCIPLES OF FIN ACCOUNTNG","102","10004","M","6:00 PM - 8:50 PM","KUPF 206","Open","43","41","Lee, Heejae","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10004",""
"202410","ACCT215","MANAGERIAL ACCOUNTING I","002","10005","MR","1:00 PM - 2:20 PM","KUPF 105","Closed","43","43","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10005",""
"202410","ACCT215","MANAGERIAL ACCOUNTING I","004","10006","TF","10:00 AM - 11:20 AM","KUPF 103","Open","43","29","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10006",""
"202410","ACCT215","MANAGERIAL ACCOUNTING I","102","10007","R","6:00 PM - 8:50 PM","KUPF 206","Open","43","37","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10007",""
"202410","ACCT335","MANAGERIAL ACCOUNTING II","102","10008","M","6:00 PM - 8:50 PM","CULM LECT 2","Open","43","14","Micale, Joseph","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10008",""
"202410","ACCT403","FINANCIAL STATEMENT ANALYSIS","002","10009","MR","10:00 AM - 11:20 AM","WEST LECT 2","Open","8","5","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10009",""
"202410","ACCT435","INTERMEDIATE ACCOUNTING II","102","10010","R","6:00 PM - 8:50 PM"," ","Cancelled","43","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10010","Cancelled 01/05/24"
"202410","ACCT490","INDEPENDENT STUDY IN ACCT","887","10011","","TBA"," ","Open","19","3","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10011","See department for permission to enroll."
"202410","ACCT615","MANAGEMENT ACCOUNTING","002","10012","T","2:30 PM - 5:20 PM","KUPF 107","Open","43","40","Derbaly, George","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10012","Hybrid Course<br />Face-to-face meetings held alternate weeks starting:1/23/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","ACCT615","MANAGEMENT ACCOUNTING","852","10013","","TBA"," ","Open","30","24","Micale, Joseph","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10013","Restricted to Virtual Campus Students Only<br />Online Course"
"202410","ACCT615","MANAGEMENT ACCOUNTING","854","10014","","TBA"," ","Open","30","28","Lee, Heejae","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10014","Restricted to Newark Campus Students Only<br />Online Course"
"202410","ACCT640","DATA FOR ANALYTICS","102","10015","W","6:00 PM - 8:50 PM","CAB 2020","Open","20","11","Taylor, Ming","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10015",""
