"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","AD111","COMM IN ART+ DES - TRAD MEDIA","002","10016","R","8:30 AM - 11:20 AM"," ","Open","17","14","Brothers, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10016",""
"202410","AD111","COMM IN ART+ DES - TRAD MEDIA","002","10016","T","8:30 AM - 11:20 AM"," ","Open","17","14","Brothers, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10016",""
"202410","AD111","COMM IN ART+ DES - TRAD MEDIA","004","10017","R","8:30 AM - 11:20 AM"," ","Closed","17","17","Wroblewski, Jennifer","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10017",""
"202410","AD111","COMM IN ART+ DES - TRAD MEDIA","004","10017","T","8:30 AM - 11:20 AM"," ","Closed","17","17","Wroblewski, Jennifer","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10017",""
"202410","AD111","COMM IN ART+ DES - TRAD MEDIA","006","10018","M","1:00 PM - 3:50 PM"," ","Open","17","13","Jordan, Patti","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10018",""
"202410","AD111","COMM IN ART+ DES - TRAD MEDIA","006","10018","R","1:00 PM - 3:50 PM"," ","Open","17","13","Jordan, Patti","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10018",""
"202410","AD111","COMM IN ART+ DES - TRAD MEDIA","008","10019","MR","1:00 PM - 3:50 PM"," ","Open","17","14","Conklin, Donna","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10019",""
"202410","AD111","COMM IN ART+ DES - TRAD MEDIA","010","10020","M","1:00 PM - 3:50 PM"," ","Open","17","9","Pepin, Melissa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10020",""
"202410","AD111","COMM IN ART+ DES - TRAD MEDIA","010","10020","R","1:00 PM - 3:50 PM"," ","Open","17","9","Pepin, Melissa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10020",""
"202410","AD111","COMM IN ART+ DES - TRAD MEDIA","012","10021","R","8:30 AM - 11:20 AM"," ","Open","17","12","Penalba Estebanez, Ana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10021",""
"202410","AD111","COMM IN ART+ DES - TRAD MEDIA","012","10021","T","8:30 AM - 11:20 AM"," ","Open","17","12","Penalba Estebanez, Ana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10021",""
"202410","AD112","COMM IN ART & DES-DIGTL MEDIA","002","10022","R","8:30 AM - 11:20 AM","CAMP 236D","Closed","17","17","Szabla, Natalia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10022",""
