"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","BIOL115","EVOLUTION OF SEX","002","10253","TR","10:00 AM - 11:20 AM","ECEC 100","Closed","43","43","Soares, Daphne","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10253",""
"202410","BIOL150","LIVING IN A VARIABLE UNIVERSE","002","10254","R","2:30 PM - 5:20 PM","CKB 326","Open","24","12","Russell, Gareth","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10254",""
"202410","BIOL150","LIVING IN A VARIABLE UNIVERSE","002","10254","TR","11:30 AM - 12:50 PM","KUPF 106","Open","24","12","Russell, Gareth","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10254",""
"202410","BIOL150","LIVING IN A VARIABLE UNIVERSE","004","10255","F","1:00 PM - 3:50 PM","CKB 326","Open","24","5","Fortune, Eric","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10255",""
"202410","BIOL150","LIVING IN A VARIABLE UNIVERSE","004","10255","TR","11:30 AM - 12:50 PM","KUPF 106","Open","24","5","Fortune, Eric","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10255",""
"202410","BIOL200","CONCEPTS IN BIOLOGY","002","10256","F","8:30 AM - 9:50 AM","CKB 207","Closed","25","25","Stanko, Maria","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10256",""
"202410","BIOL200","CONCEPTS IN BIOLOGY","002","10256","TR","8:30 AM - 9:50 AM","CKB G-08","Closed","25","25","Stanko, Maria","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10256",""
"202410","BIOL200","CONCEPTS IN BIOLOGY","004","10257","R","10:00 AM - 11:20 AM","CKB 220","Closed","25","25","Stanko, Maria","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10257",""
"202410","BIOL200","CONCEPTS IN BIOLOGY","004","10257","TR","8:30 AM - 9:50 AM","CKB G-08","Closed","25","25","Stanko, Maria","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10257",""
"202410","BIOL201","FOUND OF BIOL: CELL & MOLECULA","002","10258","TR","1:00 PM - 2:20 PM","GITC 1400","Open","96","76","Konsolaki, Mary","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10258","Students must also register for BIOL 202 - LAB"
