"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","BME101","INTRO TO BIOMED ENGR","002","10509","F","10:00 AM - 11:20 AM","GITC 1400","Open","110","84","MontJohnson, Ashley","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10509",""
"202410","BME111","INTRODUCTION TO PHYSIOLOGY","002","10510","TR","1:00 PM - 2:20 PM","KUPF 211","Open","50","36","Jones, Rachel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10510",""
"202410","BME111","INTRODUCTION TO PHYSIOLOGY - HONORS","H02","10511","TR","2:30 PM - 3:50 PM","FMH 314","Open","15","13","Jones, Rachel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10511","Honors Course"
"202410","BME210","PROCESSING FUND FOR BIOL SIGNA","002","10512","F","2:30 PM - 5:20 PM"," ","Cancelled","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10512","Cancelled 12/5/23"
"202410","BME210","PROCESSING FUND FOR BIOL SIGNA","004","10513","W","10:00 AM - 12:50 PM","FENS 636","Closed","25","25","Li, Xiaobo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10513",""
"202410","BME210","PROCESSING FUND FOR BIOL SIGNA","102","16129","W","6:00 PM - 8:50 PM","FENS 636","Open","25","17","Cao, Meng","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16129",""
"202410","BME301","INTRO BIOMEDICAL ENGINEERING I","002","10514","M","10:00 AM - 12:50 PM","FENS 640","Open","50","28","Kurian, Ashwin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10514",""
"202410","BME301","INTRO BIOMEDICAL ENGINEERING I","002","10514","M","8:30 AM - 9:30 AM","KUPF 209","Open","50","28","Kurian, Ashwin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10514",""
"202410","BME301","INTRO BIOMEDICAL ENGINEERING I - HONORS","HM2","10515","M","10:00 AM - 12:50 PM","FENS 640","Open","10","4","Kurian, Ashwin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10515","Honors Course"
"202410","BME301","INTRO BIOMEDICAL ENGINEERING I - HONORS","HM2","10515","M","8:30 AM - 9:30 AM","KUPF 209","Open","10","4","Kurian, Ashwin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10515","Honors Course"
"202410","BME302","INTRO BIOMED ENGR II","102","10516","M","6:00 PM - 7:00 PM","KUPF 103","Closed","30","32","Moodey, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10516",""
"202410","BME302","INTRO BIOMED ENGR II","102","10516","M","7:00 PM - 9:50 PM","FENS 636","Closed","30","32","Moodey, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10516",""
"202410","BME302","INTRO BIOMED ENGR II - HONORS","HM2","10517","M","6:00 PM - 7:00 PM","KUPF 103","Open","15","7","Moodey, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10517","Honors Course<br />Lab portion meets alternate weeks starting: TBD."
"202410","BME302","INTRO BIOMED ENGR II - HONORS","HM2","10517","M","7:00 PM - 9:50 PM","FENS 636","Open","15","7","Moodey, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10517","Honors Course<br />Lab portion meets alternate weeks starting: TBD."
"202410","BME303","BIO & CHEMICAL FOUND OF BME","002","10518","TR","10:00 AM - 11:20 AM","CULM LECT 2","Open","35","33","Buffone, Alexander","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10518",""
"202410","BME303","BIO & CHEMICAL FOUND OF BME - HONORS","HM2","10519","TR","10:00 AM - 11:20 AM","CULM LECT 2","Open","10","1","Buffone, Alexander","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10519","Honors Course"
"202410","BME304","MATERIAL FUNDAMENTALS OF BME","102","10520","T","6:00 PM - 8:50 PM","CKB 303","Closed","30","36","Oni, Yusuf","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10520",""
"202410","BME304","MATERIAL FUNDAMENTALS OF BME - HONORS","HM2","10521","T","6:00 PM - 8:50 PM","CKB 303","Open","15","4","Oni, Yusuf","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10521","Honors Course"
"202410","BME321","ADV MECHANICS FOR BIOMED ENGR","002","10522","MW","1:00 PM - 2:20 PM","KUPF 209","Open","50","16","Son, Jongsang","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10522",""
"202410","BME351","INTRO TO BIOFLUID MECHANICS","002","10523","MR","1:00 PM - 2:20 PM","CKB 303","Open","35","25","Roman, Max","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10523",""
"202410","BME352","THERMAL SCIENCE FOR BME","002","10524","F","1:00 PM - 2:20 PM","TIER 113","Open","40","32","Roman, Max","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10524",""
"202410","BME352","THERMAL SCIENCE FOR BME","002","10524","T","2:30 PM - 3:50 PM","KUPF 206","Open","40","32","Roman, Max","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10524",""
"202410","BME372","ELECTRONICS OF MEDICAL DEVICES","002","10525","R","1:00 PM - 2:20 PM","FENS 640","Open","28","20","Schesser, Joel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10525",""
"202410","BME372","ELECTRONICS OF MEDICAL DEVICES","002","10525","T","11:30 AM - 12:50 PM","FENS 640","Open","28","20","Schesser, Joel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10525",""
"202410","BME382","ENGINEERING PHYSIOLOGY II","002","10526","MW","1:00 PM - 2:20 PM"," ","Cancelled","40","0","Khayat, Ghazaleh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10526","Cancelled 01/09/24"
