"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","CET314","CONSTRUCTION PROCEDURES II","002","10994","F","10:00 AM - 11:20 AM","CKB 310","Open","30","20","Valoura, Melissa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10994",""
"202410","CET314","CONSTRUCTION PROCEDURES II","002","10994","T","11:30 AM - 12:50 PM","CKB 315","Open","30","20","Valoura, Melissa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10994",""
"202410","CET314","CONSTRUCTION PROCEDURES II","102","10995","W","6:00 PM - 8:50 PM","CKB 207","Closed","30","30","Gottko, Edward","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10995",""
"202410","CET323","CONSTRUCTION SAFETY","002","10996","TF","8:30 AM - 9:50 AM","CKB 114","Open","30","11","Feng, Yanxiao","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10996",""
"202410","CET323","CONSTRUCTION SAFETY","102","10997","T","6:00 PM - 8:50 PM","FMH 307","Open","30","20","Gottko, Edward","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10997",""
"202410","CET341","SOILS AND EARTHWORK","002","15992","TF","2:30 PM - 3:50 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15992","Cancelled 01/11/24"
"202410","CET341","SOILS AND EARTHWORK","102","10998","R","6:00 PM - 8:50 PM","CKB 207","Open","30","11","Washington, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10998",""
"202410","CET413","ENVIRONMENTAL SCIENCE","002","10999","TF","4:00 PM - 5:20 PM"," ","Cancelled","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10999","Cancelled 11/7/23"
"202410","CET413","ENVIRONMENTAL SCIENCE","004","16005","TF","1:00 PM - 2:20 PM","CKB 114","Open","25","11","Borgaonkar, Ashish","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16005",""
"202410","CET413","ENVIRONMENTAL SCIENCE","102","11000","F","6:00 PM - 8:50 PM","CKB 341","Open","25","21","McCall, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11000",""
"202410","CET416","SENIOR CONSTRUCTION PROJ","102","11001","T","6:00 PM - 8:50 PM","CKB 341","Closed","25","25","Wiggins, John","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11001",""
"202410","CET421","CONSTRUCTION CONTRACTS","002","11002","TF","1:00 PM - 2:20 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11002","Cancelled 11/6/23"
"202410","CET421","CONSTRUCTION CONTRACTS","004","15985","TF","4:00 PM - 5:20 PM","FMH 405","Open","25","13","Wiggins, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15985",""
"202410","CET421","CONSTRUCTION CONTRACTS","102","11003","W","6:00 PM - 8:50 PM","FMH 321","Open","30","13","Wiggins, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11003",""
"202410","CET435","DGN OF TEMPRY STRS CNSTN","102","11004","M","6:00 PM - 8:50 PM","CKB 124","Open","30","22","Porcello, Zachary","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11004",""
"202410","CET490","SPECIAL PROJECT","352","11005","","TBA"," ","Open","19","0","Wiggins, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11005","See department for permission to enroll."
"202410","CET491","SPECIAL PROJECTS","352","11006","","TBA"," ","Closed","0","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11006","Cancelled 01/12/24"
"202410","CET492","SPECIAL PROJECTS","352","11007","","TBA"," ","Open","19","0","Wiggins, John","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11007","See department for permission to enroll."
"202410","CET493","SPECIAL PROJECTS","352","11008","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11008","Cancelled 01/12/24"
"202410","CET497","CO-OP INTERNSHIP","352","11009","","TBA"," ","Open","19","0","Wiggins, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11009","See department for permission to enroll."
