"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","CE101","CE COMPUTER AIDED DESIGN","002","10734","F","1:00 PM - 2:55 PM","FENS 160","Closed","30","35","Santos, Stephanie","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10734","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/19/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","CE101","CE COMPUTER AIDED DESIGN","004","10735","R","12:15 PM - 2:10 PM","FENS 160","Closed","30","31","Santos, Stephanie","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10735","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/18/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","CE101","CE COMPUTER AIDED DESIGN","006","10736","T","12:15 PM - 2:10 PM","FENS 160","Closed","30","35","Santos, Stephanie","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10736","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/16/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","CE200","SURVEYING","102","10737","R","6:00 PM - 8:50 PM","GITC 1400","Open","100","50","Lapatka, Allison","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10737",""
"202410","CE200A","SURVEYING LAB","002","10738","R","10:00 AM - 12:50 PM","MALL PC40","Closed","20","20","Lapatka, Allison","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10738","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/18/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","CE200A","SURVEYING LAB","004","10739","R","1:00 PM - 3:50 PM","MALL PC40","Closed","20","20","Lapatka, Allison","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10739","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/18/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","CE200A","SURVEYING LAB","102","10740","S","9:00 AM - 11:50 AM","GITC 2400","Open","20","11","Zimmermann, William","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10740",""
"202410","CE210","CONSTRN MATRLS & PROCDRS","004","10741","TR","8:30 AM - 9:50 AM","COLT 416","Closed","25","29","Golon, Frank","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10741",""
"202410","CE210","CONSTRN MATRLS & PROCDRS","102","10742","R","6:00 PM - 8:50 PM","CKB 120","Closed","25","27","Choudhry, Maaz","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10742",""
"202410","CE210","CONSTRN MATRLS & PROCDRS - HONORS","HM2","10743","R","6:00 PM - 8:50 PM","CKB 120","Open","5","3","Choudhry, Maaz","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10743","Honors Course"
