"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","CHEM121","FUND OF CHEMICAL PRINCIPLES I","002","11312","TF","1:00 PM - 2:20 PM","KUPF 202","Closed","43","43","Agarwal, Seema","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11312","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","CHEM122","FUND OF CHEMICAL PRINCIPLES II","002","11313","TR","11:30 AM - 12:50 PM","KUPF 202","Open","43","33","Edens, Gregory","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11313","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","CHEM122","FUND OF CHEMICAL PRINCIPLES II","004","16145","TR","11:30 AM - 12:50 PM","KUPF 108","Open","43","21","Ananthanarayanan, Bharath","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16145","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","CHEM125","GENERAL CHEMISTRY I","002","11314","MR","1:00 PM - 2:20 PM","KUPF 207","Open","43","41","Edens, Gregory","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11314","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","CHEM125","GENERAL CHEMISTRY I","004","11315","MR","2:30 PM - 3:50 PM","KUPF 209","Closed","43","43","Agarwal, Seema","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11315","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","CHEM125","GENERAL CHEMISTRY I","006","11316","MR","2:30 PM - 3:50 PM"," ","Cancelled","43","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11316","Cancelled 01/09/24"
"202410","CHEM125","GENERAL CHEMISTRY I","008","11317","MR","8:30 AM - 9:50 AM","KUPF 207","Open","43","25","Edens, Gregory","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11317","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","CHEM125","GENERAL CHEMISTRY I","010","11318","TR","4:00 PM - 5:20 PM","KUPF 202","Open","43","38","DePaolo, Patrick","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11318","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","CHEM125","GENERAL CHEMISTRY I","012","11319","TF","1:00 PM - 2:20 PM","KUPF 105","Open","43","42","DePaolo, Patrick","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11319","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","CHEM125","GENERAL CHEMISTRY I","102","11320","W","6:00 PM - 8:50 PM"," ","Cancelled","43","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11320","Cancelled 01/09/24"
"202410","CHEM125","GENERAL CHEMISTRY I","104","11321","M","6:00 PM - 8:50 PM","KUPF 207","Open","43","27","DePaolo, Patrick","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11321","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","CHEM125","GENERAL CHEMISTRY I","106","11322","T","6:00 PM - 8:50 PM"," ","Cancelled","43","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11322","Cancelled 01/03/24"
"202410","CHEM125A","GENERAL CHEMISTRY  LAB I","002","11323","W","11:30 AM - 2:20 PM","TIER 204","Closed","30","30","Gu, Pin","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11323",""
