"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","CHE101","INTRO TO CHEMICAL ENGINEERING","102","11010","R","6:00 PM - 7:00 PM","CKB 204","Closed","40","40","Axe, Lisa","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11010",""
"202410","CHE201","MATERIAL AND ENERGY BALANCES","002","11011","F","10:00 AM - 11:00 AM","KUPF 107","Open","40","22","Baltzis, Basil","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11011",""
"202410","CHE201","MATERIAL AND ENERGY BALANCES","002","11011","M","11:30 AM - 1:35 PM","KUPF 103","Open","40","22","Baltzis, Basil","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11011",""
"202410","CHE201","MATERIAL AND ENERGY BALANCES","002","11011","W","11:30 AM - 1:35 PM","KUPF 103","Open","40","22","Baltzis, Basil","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11011",""
"202410","CHE230","CHEM ENGINEER THERMODYNAMICS I","002","11012","TR","3:15 PM - 5:20 PM","FMH 404","Open","35","23","Khusid, Boris","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11012",""
"202410","CHE260","FLUID FLOW","002","11013","TR","10:00 AM - 12:05 PM","CULM LECT 3","Open","40","37","Bilgili, Ecevit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11013",""
"202410","CHE312","CHEMICAL PROCESS SAFETY","002","11014","TR","11:30 AM - 12:50 PM","ME 221","Open","30","24","Cimino, Richard","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11014",""
"202410","CHE312","CHEMICAL PROCESS SAFETY - HONORS","HM2","11015","TR","11:30 AM - 12:50 PM","ME 221","Closed","5","7","Cimino, Richard","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11015","Honors Course"
"202410","CHE342","CHEM ENG THERMODYNAM II","002","11016","TR","2:30 PM - 3:50 PM","CKB 317","Open","40","14","Reid, Nellone","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11016",""
"202410","CHE349","KINETICS & REACTOR DESGN","002","11017","TR","10:00 AM - 11:20 AM","FMH 308","Open","45","32","Wang, Xianqin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11017",""
