"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","CIMT101","INTRO TO THE CONCRETE INDUSTRY","102","11571","M","6:00 PM - 8:50 PM","FMH 314","Closed","25","26","Girgis, Sherif","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11571",""
"202410","CIMT205","CONCRETE PROPERTIES & TESTING","102","11572","R","6:00 PM - 7:55 PM","CKB 214","Open","25","10","Saleeb, Mina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11572",""
"202410","CIMT205","CONCRETE PROPERTIES & TESTING","102","11572","R","8:05 PM - 10:00 PM","COLT 121","Open","25","10","Saleeb, Mina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11572",""
"202410","CIMT210","CONCRETE APPLICATIONS I","102","11573","T","6:00 PM - 8:50 PM","FMH 305","Open","25","12","Valoura, Melissa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11573",""
"202410","CIMT305","CONCRETE APPLICATIONS II","102","11574","M","6:00 PM - 8:50 PM","TIER 113","Open","25","10","Mahgoub, Mohamed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11574",""
"202410","CIMT310","CONCRETE PRODUCTS AND DELIVERY","102","11575","W","6:00 PM - 8:50 PM","CULM 111","Open","25","9","Arocha, Ricardo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11575",""
"202410","CIMT315","CONCRETE CONSTRUCTION METHODS","102","11576","R","6:00 PM - 8:50 PM"," ","Cancelled","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11576","Cancelled 01/18/24"
"202410","CIMT405","ADV CONCRETE TESTING QUAL ASSR","102","11577","R","6:00 PM - 7:55 PM","COLT 121","Open","25","3","Valoura, Melissa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11577",""
"202410","CIMT405","ADV CONCRETE TESTING QUAL ASSR","102","11577","R","8:05 PM - 10:00 PM","CKB 220","Open","25","3","Valoura, Melissa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11577",""
"202410","CIMT410","SENIOR PROJECT IN CIM","102","11578","F","6:00 PM - 8:50 PM","CULM 111","Closed","0","1","Mahgoub, Mohamed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11578",""
"202410","CIMT491","SPECIAL PROJECT IN CIM","344","11579","","TBA"," ","Closed","0","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11579","Cancelled 01/12/24"
"202410","CIMT492","SPECIAL PROJECT IN CIM","344","11580","","TBA"," ","Closed","0","0","Mahgoub, Mohamed","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11580","Department Permission Required"
"202410","CIMT493","INDEPENDENT STUDY","344","11581","","TBA"," ","Cancelled","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11581","Cancelled 01/12/24"
"202410","CIMT497","COOP WORK EXPERIENCE I","344","11582","","TBA"," ","Open","19","2","Mahgoub, Mohamed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11582","See department for permission to enroll."
