"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","COM310","INTERPERSONAL COMMUNICATION","002","11585","TR","10:00 AM - 11:20 AM","CKB 330","Closed","20","20","Sun, Yao","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11585",""
"202410","COM310","INTERPERSONAL COMMUNICATION - HONORS","HM2","11586","TR","10:00 AM - 11:20 AM","CKB 330","Closed","10","11","Sun, Yao","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11586","Honors Course"
"202410","COM312","ORAL PRESENTATION","002","11587","TR","2:30 PM - 3:50 PM","FMH 412","Open","24","23","Kramer, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11587",""
"202410","COM312","ORAL PRESENTATION","004","11588","TR","1:00 PM - 2:20 PM","FMH 307","Closed","24","24","Kramer, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11588",""
"202410","COM312","ORAL PRESENTATION","006","11589","TR","2:30 PM - 3:50 PM","TIER 108","Closed","24","24","Stanik, Laura","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11589",""
"202410","COM312","ORAL PRESENTATION","008","11590","TR","11:30 AM - 12:50 PM","KUPF 211","Open","24","23","Gorelick, Risa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11590",""
"202410","COM312","ORAL PRESENTATION","010","11591","TR","11:30 AM - 12:50 PM","TIER 105","Closed","24","24","Stanik, Laura","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11591",""
"202410","COM312","ORAL PRESENTATION","012","11592","TR","4:00 PM - 5:20 PM","FMH 307","Closed","24","24","Stanik, Laura","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11592",""
"202410","COM312","ORAL PRESENTATION","014","11593","MW","1:00 PM - 2:20 PM","KUPF 107","Open","24","23","Kellett, Zackary","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11593",""
"202410","COM312","ORAL PRESENTATION","016","11594","MW","1:00 PM - 2:20 PM","CKB 124","Closed","24","24","Esche, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11594",""
"202410","COM312","ORAL PRESENTATION","018","11595","MW","10:00 AM - 11:20 AM","CKB 330","Closed","24","24","Livingstone, Victoria","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11595",""
"202410","COM312","ORAL PRESENTATION","020","11596","MW","10:00 AM - 11:20 AM","CKB 341","Closed","24","24","Esche, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11596",""
"202410","COM312","ORAL PRESENTATION","022","16059","TR","10:00 AM - 11:20 AM","CKB 310","Closed","18","18","Gorelick, Risa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16059",""
"202410","COM312","ORAL PRESENTATION","024","16060","MW","1:00 PM - 2:20 PM","KUPF 208","Closed","16","16","Gorelick, Risa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16060",""
"202410","COM312","ORAL PRESENTATION","102","11597","M","6:00 PM - 8:50 PM","FMH 412","Open","24","23","Teicher, Julie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11597",""
"202410","COM312","ORAL PRESENTATION","104","11598","W","6:00 PM - 8:50 PM","TIER 107","Closed","24","24","Teicher, Julie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11598",""
"202410","COM312","ORAL PRESENTATION","106","11599","T","6:00 PM - 8:50 PM","FMH 412","Closed","24","24","Edmondson, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11599",""
