"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","CPT310","COMPUTER DESIGN FUNDAMENTALS","102","11643","M","6:00 PM - 10:05 PM","CKB 219","Closed","25","25","Perumalsamy, Anuradha","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11643","Hybrid Course<br />Students must bring their device to class<br />https://www.njit.edu/registrar/instructionaldelivery/<br />See syllabus for meetings held remotely."
"202410","CPT315","COMPUTER ARCHITECTURE","102","11644","T","6:00 PM - 10:05 PM","MALL PC40","Closed","30","30","Patel, Amit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11644",""
"202410","CPT325","MEDICAL INFORMATICS TECHNOLOGY","102","11645","S","9:00 AM - 11:50 AM"," ","Cancelled","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11645","Cancelled 01/09/24"
"202410","CPT330","SOFTWARE WEB APPLICATIONS I","102","11646","F","6:00 PM - 10:05 PM","MALL PC39","Closed","30","31","Aslam, Ersal","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11646",""
"202410","CPT335","NETWORK APPLICATIONS I","102","11647","R","6:00 PM - 10:05 PM","MALL PC40","Closed","20","20","Patel, Narendra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11647",""
"202410","CPT341","VISUAL BASIC .NET","102","11648","R","6:00 PM - 10:05 PM","GITC 2315C","Closed","30","31","Tereshkovich, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11648",""
"202410","CPT373","WEB APP DEVELOPMENT FOR MOBILE","102","11649","W","6:00 PM - 10:05 PM","MALL PC39","Closed","25","25","Nasello, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11649",""
"202410","CPT373","WEB APP DEVELOPMENT FOR MOBILE","452","16106","","TBA"," ","Closed","25","26","Nasello, Daniel","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16106","Online Course"
"202410","CPT395","COOP WORK EXPERIENCE I","358","11650","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11650","See department for permission to register.<br />See department for permission to enroll."
"202410","CPT401","SENIOR PROJECT","002","11651","M","1:00 PM - 2:55 PM","FMH 309","Open","20","6","Bedi, Vivek","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11651","Hybrid Course<br />See syllabus for meetings held remotely.<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202410","CPT425","MEDICAL INFORMATICS TECH II","102","11652","R","6:00 PM - 10:05 PM"," ","Cancelled","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11652","Cancelled 01/05/24"
"202410","CPT435","NETWORK APPLICATIONS II","102","11653","M","6:00 PM - 10:05 PM","GITC 2302","Open","25","13","Patel, Tushar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11653",""
