"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","CS100","ROADMAP TO COMPUTING","002","11654","MR","10:00 AM - 11:20 AM","CKB 204","Open","80","61","Qerimaj, Jertishta","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11654","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202410","CS100","ROADMAP TO COMPUTING","004","11655","MW","1:00 PM - 2:20 PM","CKB 217","Open","80","73","Nicholson, Theodore","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11655","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202410","CS100","ROADMAP TO COMPUTING","006","11656","MW","11:30 AM - 12:50 PM","CKB 204","Closed","80","80","Nicholson, Theodore","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11656","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202410","CS100","ROADMAP TO COMPUTING","008","11657","MR","10:00 AM - 11:20 AM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11657","Cancelled 11/10/23"
"202410","CS100","ROADMAP TO COMPUTING","010","11658","MW","10:00 AM - 11:20 AM","CKB 317","Closed","40","40","Nicholson, Theodore","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11658","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202410","CS100","ROADMAP TO COMPUTING","012","11659","MW","8:30 AM - 9:50 AM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11659","Cancelled 11/10/23"
"202410","CS100","ROADMAP TO COMPUTING","018","11660","MW","8:30 AM - 9:50 AM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11660","Cancelled 11/10/23"
"202410","CS100","ROADMAP TO COMPUTING","102","11661","W","6:00 PM - 8:50 PM","GITC 2305","Closed","40","40","Nicholson, Theodore","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11661","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","CS100","ROADMAP TO COMPUTING","HS1","16229","S","9:00 AM - 11:50 AM","CKB 207","Closed","0","16","Summerfield, Trevor","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16229","For High School Students Only"
"202410","CS101","COMP PROG & PROB SOLVING","002","11662","WF","10:00 AM - 11:20 AM","CKB 212","Open","30","29","Rutkowski, Wallace","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11662","Students must bring their own device for this section."
"202410","CS101","COMP PROG & PROB SOLVING","004","11663","WF","1:00 PM - 2:20 PM","CKB 212","Open","30","29","Rutkowski, Wallace","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11663","Students must bring their own device for this section."
"202410","CS101","COMP PROG & PROB SOLVING","006","11664","WF","8:30 AM - 9:50 AM","CKB 212","Open","30","24","Rutkowski, Wallace","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11664","Students must bring their own device for this section."
"202410","CS101","COMP PROG & PROB SOLVING","102","11665","M","6:00 PM - 8:50 PM","CKB 212","Open","30","29","Rutkowski, Wallace","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11665","Students must bring their own device for this section."
"202410","CS103","COMPUT SCI-BUSINESS PROB","002","11666","WF","10:00 AM - 11:20 AM","CKB 207","Closed","30","30","Yusuf, Fatima","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11666","Students must bring their own device for this section."
"202410","CS103","COMPUT SCI-BUSINESS PROB","004","11667","MR","1:00 PM - 2:20 PM","CKB 212","Closed","30","30","Wu, Jun","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11667","Students must bring their own device for this section."
"202410","CS104","COMPUT PROG & GRAPH PROB","002","11668","MR","10:00 AM - 11:20 AM","MALL PC39","Closed","30","30","Eljabiri, Osama","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11668",""
"202410","CS104","COMPUT PROG & GRAPH PROB","102","11669","F","6:00 PM - 8:50 PM"," ","Cancelled","35","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11669","Cancelled 01/15/24"
"202410","CS106","INTRO TO COMPUTING","002","11670","WF","1:00 PM - 2:20 PM","CKB 313","Open","35","31","Yusuf, Fatima","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11670","Students must bring their own device for this section."
"202410","CS106","INTRO TO COMPUTING","102","11671","W","6:00 PM - 8:50 PM","CKB 223","Open","40","30","Pethkar, Kaustubh Vijaykumar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11671","Students must bring their own device for this section."
"202410","CS106","INTRO TO COMPUTING","452","15860","","TBA"," ","Open","30","7","Spirollari, Junilda","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15860","Restricted for Online Accelerated Degree Completion Students<br />Class meets second half of the semester (3/5/24 - 5/9/24)"
"202410","CS113","INTRO COMPUTER SCI I","002","11672","MW","10:00 AM - 11:20 AM","CKB 217","Closed","80","80","Spirollari, Junilda","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11672","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202410","CS113","INTRO COMPUTER SCI I","004","11673","MR","2:30 PM - 3:50 PM","CKB 204","Closed","80","80","Nemane, Nikita","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11673","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202410","CS113","INTRO COMPUTER SCI I","006","11674","MW","11:30 AM - 12:50 PM","CKB 217","Closed","80","80","Spirollari, Junilda","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11674","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202410","CS113","INTRO COMPUTER SCI I","008","11675","TF","2:30 PM - 3:50 PM","CKB 217","Open","80","79","Pethkar, Kaustubh Vijaykumar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11675","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202410","CS113","INTRO COMPUTER SCI I","010","11676","TF","10:00 AM - 11:20 AM","CKB 204","Closed","80","80","Spirollari, Junilda","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11676","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202410","CS113","INTRO COMPUTER SCI I","102","11677","R","6:00 PM - 8:50 PM","GITC 2305","Closed","40","40","Estes, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11677","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","CS113","INTRO COMPUTER SCI I","104","11678","T","6:00 PM - 8:50 PM","CKB 120","Open","40","39","Estes, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11678","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202410","CS113","INTRO COMPUTER SCI I","106","11679","M","6:00 PM - 8:50 PM","CKB 217","Closed","80","80","Naik, Abhishek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11679","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202410","CS113","INTRO COMPUTER SCI I - HONORS","H02","11680","TF","8:30 AM - 9:50 AM","TIER 114","Closed","30","30","Spirollari, Junilda","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11680","Honors Course<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202410","CS114","INTRO TO COMPUTER SCIENCE II","002","11681","TF","4:00 PM - 5:20 PM","CKB 204","Open","35","33","Varadarajan, Ravi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11681","Students must bring their own device for this section."
"202410","CS114","INTRO TO COMPUTER SCIENCE II","004","11682","MR","2:30 PM - 3:50 PM","GITC 1400","Open","35","34","Varadarajan, Ravi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11682","Students must bring their own device for this section."
"202410","CS114","INTRO TO COMPUTER SCIENCE II","006","11683","WF","1:00 PM - 2:20 PM","CKB 317","Open","35","34","Kapleau, Jonathan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11683","Students must bring their own device for this section."
"202410","CS114","INTRO TO COMPUTER SCIENCE II","008","11684","TR","1:00 PM - 2:20 PM","GITC 2302","Closed","38","38","Kapleau, Jonathan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11684",""
"202410","CS114","INTRO TO COMPUTER SCIENCE II","010","16194","MR","1:00 PM - 2:20 PM","GITC 2400","Open","30","14","Varadarajan, Ravi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16194",""
"202410","CS114","INTRO TO COMPUTER SCIENCE II - HONORS","H02","11685","TR","10:00 AM - 11:20 AM","GITC 2302","Closed","25","25","Kapleau, Jonathan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=11685","Honors Course"
