"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","DD264","DIGITAL DESIGN STUDIO II","002","12128","MR","1:00 PM - 5:20 PM"," ","Open","14","13","McClain, Anthony","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12128",""
"202410","DD264","DIGITAL DESIGN STUDIO II","004","12129","MR","1:00 PM - 5:20 PM"," ","Closed","14","14","Doscher, Neil","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12129",""
"202410","DD264","DIGITAL DESIGN STUDIO II","006","12130","MR","1:00 PM - 5:20 PM"," ","Closed","14","14","Hannah, Camerun","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12130",""
"202410","DD301","ACTING FUND FOR ANIMATORS","004","12131","TR","10:00 AM - 11:20 AM","CKB 106","Closed","18","18","Edwards, Emily","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12131",""
"202410","DD364","DIGITAL DESIGN STUDIO IV","002","12132","MR","12:00 PM - 5:20 PM","WEST LECT 2","Closed","10","10","Shaferman, Gaberiel","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12132",""
"202410","DD364","DIGITAL DESIGN STUDIO IV","004","12133","MR","12:00 PM - 5:20 PM","WEST LECT 2","Open","10","9","Thompson, Richard","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12133",""
"202410","DD403","DIGITAL SOUND AND MUSIC","102","12134","T","6:00 PM - 8:50 PM","CAMP 236H","Closed","15","15","Miller, Bruce","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12134",""
"202410","DD403","DIGITAL SOUND AND MUSIC","104","12135","W","6:00 PM - 8:50 PM","CAMP 236H","Closed","15","15","Miller, Bruce","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12135",""
"202410","DD415","WEB/EXHIBIT DEVELOPMENT","452","12136","","TBA"," ","Cancelled","15","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12136","Cancelled 01/08/24"
"202410","DD442","VISUAL & SPCL EFFECTS IN MOVIE","102","15850","W","6:00 PM - 8:50 PM","WEST 650","Closed","17","17","Rodrigues, Miguel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15850",""
