"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","DS636","DATA ANALYTICS WITH R PROGRAM","002","12140","M","1:00 PM - 3:50 PM","KUPF 203","Open","43","37","Li, Yajuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12140","Students must bring their own device for this section."
"202410","DS636","DATA ANALYTICS WITH R PROGRAM","004","16085","T","2:30 PM - 5:20 PM","FENS 160","Open","40","19","Bhavsar, Jaini","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16085",""
"202410","DS636","DATA ANALYTICS WITH R PROGRAM","006","16086","W","11:30 AM - 2:20 PM","CKB 303","Open","43","22","Bhavsar, Jaini","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16086",""
"202410","DS636","DATA ANALYTICS WITH R PROGRAM","008","16087","R","2:30 PM - 5:20 PM","FENS 160","Open","40","38","Bhavsar, Jaini","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16087",""
"202410","DS636","DATA ANALYTICS WITH R PROGRAM","0J2","16022","M","1:00 PM - 3:50 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16022","Cancelled 01/10/24"
"202410","DS636","DATA ANALYTICS WITH R PROGRAM","102","12141","W","6:00 PM - 8:50 PM","GITC 2315C","Open","34","4","Mani, Kumar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12141",""
"202410","DS636","DATA ANALYTICS WITH R PROGRAM","104","12142","F","6:00 PM - 8:50 PM","WEST LECT 2","Closed","43","43","Li, Daming","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12142",""
"202410","DS636","DATA ANALYTICS WITH R PROGRAM","106","16088","W","6:00 PM - 8:50 PM","FENS 160","Open","40","26","Bhavsar, Jaini","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16088",""
"202410","DS636","DATA ANALYTICS WITH R PROGRAM","852","12143","","TBA"," ","Open","30","22","Li, Daming","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12143","Restricted to Virtual Campus Students Only<br />Online Course"
"202410","DS637","PYTHON AND MATHEMATICS","102","16104","W","6:00 PM - 8:50 PM","WEST LECT 2","Open","55","22","Li, Daming","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16104",""
"202410","DS637","PYTHON AND MATHEMATICS","104","16105","S","9:00 AM - 11:50 AM","KUPF 103","Open","43","4","Li, Daming","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16105",""
"202410","DS642","APPLICATIONS PARALLEL COMPUT","002","15960","T","10:00 AM - 12:50 PM","WEST LECT 2","Open","43","2","Afkhami, Shahriar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15960",""
"202410","DS642","APPLICATIONS PARALLEL COMPUT","1J2","15935","M","6:00 PM - 8:50 PM"," ","Open","25","17","Bader, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15935","Offered at Jersey City"
"202410","DS644","INTRODUCTION TO BIG DATA","002","16026","W","11:30 AM - 2:20 PM","KUPF 118","Open","80","79","Kaur, Ravneet","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16026",""
"202410","DS644","INTRODUCTION TO BIG DATA","004","16027","F","1:00 PM - 3:50 PM","KUPF 118","Open","80","79","Kaur, Ravneet","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16027",""
"202410","DS644","INTRODUCTION TO BIG DATA","102","12144","M","6:00 PM - 8:50 PM","KUPF 208","Closed","43","43","Li, Yajuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12144",""
"202410","DS644","INTRODUCTION TO BIG DATA","852","16030","","TBA"," ","Open","30","18","Zhang, Yijie","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16030","Restricted to Virtual Campus Students Only<br />Online Course"
"202410","DS650","DATA VISUALIZATION","002","12145","F","1:00 PM - 3:50 PM","CKB 320","Open","35","30","Dasgupta, Aritra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12145",""
"202410","DS669","REINFORCEMENT LEARNING","102","12146","F","6:00 PM - 8:50 PM","KUPF 205","Open","43","17","Li, Jing","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12146",""
"202410","DS675","MACHINE LEARNING","002","12147","F","1:00 PM - 3:50 PM","GITC 1100","Open","80","73","Bakhshaliyev, Khalid","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12147",""
"202410","DS675","MACHINE LEARNING","102","12148","F","6:00 PM - 8:50 PM","GITC 1100","Closed","80","80","Bakhshaliyev, Khalid","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12148",""
"202410","DS675","MACHINE LEARNING","1J2","12149","R","6:00 PM - 8:50 PM"," ","Closed","25","27","Koutis, Ioannis","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12149","Offered at Jersey City"
"202410","DS675","MACHINE LEARNING","852","12150","","TBA"," ","Open","30","28","Houle, Michael","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12150","Restricted to Virtual Campus Students Only<br />Online Course"
"202410","DS675","MACHINE LEARNING","854","12151","","TBA"," ","Open","30","28","Houle, Michael","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12151","Open to Newark and Virtual Campus Students<br />Online Course"
"202410","DS675","MACHINE LEARNING","856","16019","","TBA"," ","Open","30","28","Roshan, Usman","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16019","Restricted to Newark Campus Students Only<br />Online Course"
"202410","DS677","DEEP LEARNING","002","15975","F","2:30 PM - 5:20 PM","ME 224","Closed","43","43","Xu, Mengjia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15975",""
"202410","DS677","DEEP LEARNING","004","16130","MW","10:00 AM - 11:20 AM","KUPF 105","Open","43","26","Rangamani, Akshay","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16130",""
"202410","DS677","DEEP LEARNING","101","12152","W","6:00 PM - 8:50 PM"," ","Cancelled","43","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12152","Cancelled 10/31/23"
"202410","DS677","DEEP LEARNING","104","12153","S","9:00 AM - 11:50 AM"," ","Cancelled","43","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12153","Cancelled 10/31/23"
"202410","DS677","DEEP LEARNING","852","12154","","TBA"," ","Open","30","23","Koutis, Ioannis","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12154","Restricted to Virtual Campus Students Only<br />Online Course"
"202410","DS680","NATURAL LANGUAGE PROCESSING","002","12155","TF","8:30 AM - 9:50 AM","KUPF 207","Open","43","16","Du, Mengnan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12155",""
"202410","DS700B","MASTER'S PROJECT","146","12156","","TBA"," ","Open","19","0","Jin, Huiran","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12156","See department for permission to enroll."
"202410","DS700B","MASTER'S PROJECT","531","12157","","TBA"," ","Open","19","0","Bader, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12157","See department for permission to enroll."
"202410","DS700B","MASTER'S PROJECT","537","12158","","TBA"," ","Open","19","0","Geller, James","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12158","See department for permission to enroll."
"202410","DS700B","MASTER'S PROJECT","540","12159","","TBA"," ","Open","19","0","Basu Roy, Senjuti","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12159","See department for permission to enroll."
"202410","DS700B","MASTER'S PROJECT","542","12160","","TBA"," ","Open","19","0","Li, Jing","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12160","See department for permission to enroll."
"202410","DS700B","MASTER'S PROJECT","543","12161","","TBA"," ","Open","19","0","Sharma, Shantanu","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12161","See department for permission to enroll."
"202410","DS700B","MASTER'S PROJECT","550","12162","","TBA"," ","Open","19","0","Roshan, Usman","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12162","See department for permission to enroll."
"202410","DS700B","MASTER'S PROJECT","566","12163","","TBA"," ","Open","19","1","Xu, Mengjia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12163","See department for permission to enroll."
"202410","DS700B","MASTER'S PROJECT","568","12164","","TBA"," ","Open","19","0","Wang, Lijing","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12164","See department for permission to enroll."
