"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","ECET201","CIRCUITS I","002","12612","F","9:15 AM - 11:10 AM","FMH 310","Closed","21","22","Reaves, Jeffrey","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12612",""
"202410","ECET201","CIRCUITS I","002","12612","T","9:15 AM - 11:10 AM","FMH 304","Closed","21","22","Reaves, Jeffrey","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12612",""
"202410","ECET201","CIRCUITS I","102","12613","F","6:00 PM - 7:55 PM","FMH 106","Closed","21","22","Ghrayeb, Ashraf","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12613",""
"202410","ECET201","CIRCUITS I","102","12613","F","8:05 PM - 10:00 PM","FMH 316","Closed","21","22","Ghrayeb, Ashraf","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12613",""
"202410","ECET201","CIRCUITS I","104","12614","R","6:00 PM - 7:55 PM","FMH 109","Closed","21","21","Vincent, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12614",""
"202410","ECET201","CIRCUITS I","104","12614","R","8:05 PM - 10:00 PM","FMH 106","Closed","21","21","Vincent, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12614",""
"202410","ECET202","CIRCUITS II","102","12615","M","6:00 PM - 7:55 PM","FMH 310","Closed","21","23","Kayzman, Victor","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12615",""
"202410","ECET202","CIRCUITS II","102","12615","M","8:05 PM - 10:00 PM","FMH 318","Closed","21","23","Kayzman, Victor","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12615",""
"202410","ECET205","ANALOG ELECTRONICS","102","12616","R","6:00 PM - 7:55 PM","FMH 106","Closed","21","22","Park, Jinsoo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12616",""
"202410","ECET205","ANALOG ELECTRONICS","102","12616","R","8:05 PM - 10:00 PM","FMH 304","Closed","21","22","Park, Jinsoo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12616",""
"202410","ECET214","INTRO TO COMMUNICATION SYSTEMS","102","12617","W","6:00 PM - 7:55 PM","FMH 403","Closed","21","21","Pepe, Russell","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12617",""
"202410","ECET214","INTRO TO COMMUNICATION SYSTEMS","102","12617","W","8:05 PM - 10:00 PM","FMH 316","Closed","21","21","Pepe, Russell","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12617",""
