"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","ECE101","INTRO TO ELECT & COMP ENGINEER","002","12271","T","5:00 PM - 5:50 PM","WEST LECT 1","Open","144","136","Mathes, Ryoko","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12271",""
"202410","ECE231","CIRCUITS & SYSTEMS I","002","12272","MW","1:00 PM - 2:20 PM","ECEC 115","Open","35","8","Ansari, Nirwan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12272",""
"202410","ECE231","CIRCUITS & SYSTEMS I","002","12272","R","4:00 PM - 5:00 PM","TIER 113","Open","35","8","Ansari, Nirwan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12272",""
"202410","ECE231","CIRCUITS & SYSTEMS I","102","12273","R","6:00 PM - 10:05 PM","ECEC 100","Open","50","43","Manzhura, Oksana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12273",""
"202410","ECE231","CIRCUITS & SYSTEMS I - HONORS","HM2","12274","MW","1:00 PM - 2:20 PM","ECEC 115","Open","5","2","Ansari, Nirwan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12274","Honors Course"
"202410","ECE231","CIRCUITS & SYSTEMS I - HONORS","HM2","12274","R","4:00 PM - 5:00 PM","TIER 113","Open","5","2","Ansari, Nirwan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12274","Honors Course"
"202410","ECE231","CIRCUITS & SYSTEMS I - HONORS","HM4","12275","R","6:00 PM - 10:05 PM","ECEC 100","Open","10","8","Manzhura, Oksana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12275","Honors Course"
"202410","ECE232","CIRCUITS & SYSTEMS II","002","12276","F","10:00 AM - 11:00 AM","WEST LECT 2","Closed","43","43","Manzhura, Oksana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12276",""
"202410","ECE232","CIRCUITS & SYSTEMS II","002","12276","TR","2:30 PM - 3:50 PM","KUPF 205","Closed","43","43","Manzhura, Oksana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12276",""
"202410","ECE232","CIRCUITS & SYSTEMS II","102","12277","M","6:00 PM - 10:05 PM","GITC 1400","Open","70","59","Balguvhar, Sumit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12277",""
