"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","ECON201","ECONOMICS","002","12650","W","11:30 AM - 2:20 PM","GITC 1400","Open","55","37","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12650","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: TBD<br />https://www.njit.edu/registrar/instructionaldelivery/<br />Non Business Majors Only"
"202410","ECON201","ECONOMICS","004","12651","W","11:30 AM - 2:20 PM","GITC 1400","Open","55","23","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12651","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: TBD<br />https://www.njit.edu/registrar/instructionaldelivery/<br />Non Business Majors Only"
"202410","ECON201","ECONOMICS","006","12652","TF","4:00 PM - 5:20 PM","KUPF 105","Closed","33","33","Chou, Porchiung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12652","For Non-Business Majors Only"
"202410","ECON201","ECONOMICS","102","12653","T","6:00 PM - 8:50 PM","GITC 1400","Open","55","42","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12653","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: TBD<br />https://www.njit.edu/registrar/instructionaldelivery/<br />Non Business Majors Only"
"202410","ECON201","ECONOMICS","104","12654","T","6:00 PM - 8:50 PM","GITC 1400","Open","55","13","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12654","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: TBD<br />https://www.njit.edu/registrar/instructionaldelivery/<br />Non Business Majors Only"
"202410","ECON201","ECONOMICS","452","12655","","TBA"," ","Closed","30","30","Bonitsis, Theologos","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12655","Online Course<br />Non Business Majors Only"
"202410","ECON201","ECONOMICS - HONORS","HM2","12656","TF","4:00 PM - 5:20 PM","KUPF 105","Open","10","4","Chou, Porchiung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12656","Honors Course<br />Non Business Majors Only"
"202410","ECON265","MICROECONOMICS","102","12657","W","6:00 PM - 8:50 PM","KUPF 103","Open","43","19","Chou, Porchiung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12657",""
"202410","ECON265","MICROECONOMICS","452","12658","","TBA"," ","Closed","30","30","Bataille, Edner","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12658","Online Course"
"202410","ECON265","MICROECONOMICS","PSE","16241","","TBA"," ","Closed","0","9","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16241","For Passaic Academy for Science & Engineering Students Only"
"202410","ECON266","MACROECONOMICS","002","12659","TF","1:00 PM - 2:20 PM","KUPF 206","Closed","43","43","Chou, Porchiung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12659",""
"202410","ECON266","MACROECONOMICS","102","12660","M","6:00 PM - 8:50 PM","KUPF 108","Closed","43","43","Guider, Joseph","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12660",""
"202410","ECON266","MACROECONOMICS","452","12661","","TBA"," ","Closed","30","30","Chou, Porchiung","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12661","Online Course"
"202410","ECON266","MACROECONOMICS","454","12662","","TBA"," ","Closed","30","30","Chou, Porchiung","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12662","Online Course"
"202410","ECON266","MACROECONOMICS","456","16025","","TBA"," ","Closed","30","30","Bataille, Edner","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16025","Online Course"
"202410","ECON266","MACROECONOMICS","PSE","16242","","TBA"," ","Closed","0","29","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16242","For Passaic Academy for Science & Engineering Students Only"
"202410","ECON610","MANAGERIAL ECONOMICS","852","12663","","TBA"," ","Cancelled","30","0","","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12663","Cancelled 01/02/24"
