"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","EM602","MANAGEMENT SCIENCE","002","12664","F","8:30 AM - 11:20 AM","CKB 315","Open","30","21","Ikhmeis, Sufian","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12664","Department Permission Required"
"202410","EM602","MANAGEMENT SCIENCE","102","12665","M","6:00 PM - 8:50 PM","CKB 341","Open","30","14","Ikhmeis, Sufian","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12665",""
"202410","EM602","MANAGEMENT SCIENCE","852","12666","","TBA"," ","Open","30","14","Cai, Wenbo","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12666","Restricted to Virtual Campus Students Only<br />Online Course"
"202410","EM602","MANAGEMENT SCIENCE","854","12667","","TBA"," ","Cancelled","30","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12667","Cancelled 01/04/24"
"202410","EM631","LEGAL ASPCT IN ENVR ENGR","852","12668","","TBA"," ","Open","30","28","Bonchonsky, Michael","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12668","Restricted to Newark Campus Students Only<br />Online Course"
"202410","EM632","LEGAL ASPECTS IN CONSTR","852","12669","","TBA"," ","Open","30","25","Avoryie, Abigail","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12669","Restricted to Virtual Campus Students Only<br />Online Course"
"202410","EM636","PROJECT MANAGEMENT","002","12670","M","2:30 PM - 5:20 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12670","Cancelled 10/19/23"
"202410","EM636","PROJECT MANAGEMENT","102","12671","R","6:00 PM - 8:50 PM","MALL PC37","Open","30","20","Abdou, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12671",""
"202410","EM636","PROJECT MANAGEMENT","104","12672","W","6:00 PM - 8:50 PM","KUPF 210","Closed","30","30","Zoppi, Philip","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12672","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/17/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","EM636","PROJECT MANAGEMENT","106","12673","W","6:00 PM - 8:50 PM","KUPF 210","Open","30","29","Zoppi, Philip","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12673","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/24/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","EM636","PROJECT MANAGEMENT","852","12674","","TBA"," ","Open","30","25","Zoppi, Philip","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12674","Restricted to Virtual Campus Students Only<br />Online Course"
"202410","EM636","PROJECT MANAGEMENT","854","12675","","TBA"," ","Closed","30","30","Naraine, Deoraj","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12675","Restricted to Newark Campus Students Only<br />Online Course"
"202410","EM637","PROJECT CONTROL","102","12676","S","9:00 AM - 11:50 AM","CKB 310","Open","30","29","Ikhmeis, Sufian","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12676",""
