"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","ENE262","INTRO TO ENVIRONMENTAL ENGR","002","12707","T","8:30 AM - 12:50 PM"," ","Cancelled","55","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12707","Cancelled 11/1/23"
"202410","ENE262","INTRO TO ENVIRONMENTAL ENGR","004","12708","R","8:30 AM - 12:50 PM","CKB 120","Closed","20","20","Schorr, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12708",""
"202410","ENE262","INTRO TO ENVIRONMENTAL ENGR","102","12709","T","6:00 PM - 10:05 PM","KUPF 118","Closed","20","27","Furrey, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12709",""
"202410","ENE262","INTRO TO ENVIRONMENTAL ENGR","104","15971","M","6:00 PM - 10:05 PM","COLT 416","Closed","20","20","Zhang, Wen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15971",""
"202410","ENE262","INTRO TO ENVIRONMENTAL ENGR - HONORS  SEE CANVAS ANNOUNCEMENTS","HM2","12710","R","8:30 AM - 12:50 PM","CKB 120","Open","20","3","Schorr, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12710","Honors Course"
"202410","ENE630","PHYSICAL PROCESSES OF ENV SYST","102","15908","M","6:00 PM - 8:50 PM","CKB 310","Open","20","11","Boufadel, Michel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15908",""
"202410","ENE662","SITE REMEDIATION","852","15884","","TBA"," ","Open","30","16","Coler, Maria","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15884","Restricted to Virtual Campus Students Only<br />Online Course"
"202410","ENE663","WATER CHEMISTRY","102","12711","R","6:00 PM - 8:50 PM","CKB 310","Open","30","8","Venkatesan, Arjunkrishna","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12711",""
"202410","ENE700B","MASTER'S PROJECT","081","12712","","TBA"," ","Open","19","0","Baltzis, Basil","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12712","See department for permission to enroll."
"202410","ENE700B","MASTER'S PROJECT","091","12713","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12713","See department for permission to enroll."
"202410","ENE700B","MASTER'S PROJECT","188","12714","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12714","See department for permission to enroll."
"202410","ENE700B","MASTER'S PROJECT","191","12715","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12715","See department for permission to enroll."
"202410","ENE700B","MASTER'S PROJECT","197","12716","","TBA"," ","Open","19","0","Olenik, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12716","See department for permission to enroll."
"202410","ENE700B","MASTER'S PROJECT","203","12717","","TBA"," ","Open","19","0","Dimitrijevic, Branislav","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12717","See department for permission to enroll."
"202410","ENE700B","MASTER'S PROJECT","208","12718","","TBA"," ","Open","19","0","Axe, Lisa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12718","See department for permission to enroll."
"202410","ENE700B","MASTER'S PROJECT","210","12719","","TBA"," ","Open","19","0","Axe, Lisa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12719","See department for permission to enroll."
"202410","ENE700B","MASTER'S PROJECT","211","12720","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12720","See department for permission to enroll."
"202410","ENE701B","MASTER'S THESIS","182","12721","","TBA"," ","Open","19","0","Boufadel, Michel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12721","See department for permission to enroll."
"202410","ENE701B","MASTER'S THESIS","188","12722","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12722","See department for permission to enroll."
