"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","ENGL099","ENGLISH COMP:RDNG, WRIT","001","12758","TF","2:30 PM - 3:50 PM","GITC 2315A","Open","20","6","Paris, Jerome","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12758",""
"202410","ENGL100","INTRO TO ACADEMIC RDG, WRTG","001","12759","TR","8:30 AM - 9:50 AM","CKB 207","Open","15","3","Paris, Jerome","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12759","For Students in the English Language Program"
"202410","ENGL101","INTRO TO ACADEMIC WRITING","002","12760","MR","2:30 PM - 3:50 PM","FMH 106","Closed","22","25","Smith-Henry, Dawn","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12760",""
"202410","ENGL101","INTRO TO ACADEMIC WRITING","004","12761","TF","4:00 PM - 5:20 PM"," ","Cancelled","22","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12761","Cancelled 1/2/24"
"202410","ENGL101","INTRO TO ACADEMIC WRITING","006","12762","TF","2:30 PM - 3:50 PM","CKB 220","Closed","22","24","Wynter, Lionel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12762",""
"202410","ENGL101","INTRO TO ACADEMIC WRITING","008","12763","WF","10:00 AM - 11:20 AM","FMH 108","Closed","22","25","Schulman, Markita","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12763",""
"202410","ENGL101","INTRO TO ACADEMIC WRITING","010","12764","TR","11:30 AM - 12:50 PM","FMH 106","Closed","22","25","Chen, Kim","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12764",""
"202410","ENGL101","INTRO TO ACADEMIC WRITING","012","12765","TR","10:00 AM - 11:20 AM","FMH 106","Closed","22","26","Ascarelli, Miriam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12765",""
"202410","ENGL101","INTRO TO ACADEMIC WRITING","014","12766","MW","1:00 PM - 2:20 PM","FMH 108","Closed","22","25","Aladren, Vivian","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12766",""
"202410","ENGL101","INTRO TO ACADEMIC WRITING","016","12767","MW","8:30 AM - 9:50 AM","FMH 108","Closed","22","25","Aladren, Vivian","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12767",""
