"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","ENGR101","ANALYTICAL METH FOR ENGR APPL","002","12835","TR","10:00 AM - 11:20 AM","GITC 1100","Open","27","26","Guan, Hui","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12835","For students taking MATH 110"
"202410","ENGR101","ANALYTICAL METH FOR ENGR APPL","002","12835","W","10:00 AM - 11:20 AM","GITC 2400","Open","27","26","Guan, Hui","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12835","For students taking MATH 110"
"202410","ENGR101","ANALYTICAL METH FOR ENGR APPL","002","12835","W","8:30 AM - 9:50 AM","FMH 314","Open","27","26","Guan, Hui","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12835","For students taking MATH 110"
"202410","ENGR101","ANALYTICAL METH FOR ENGR APPL","004","12836","TR","10:00 AM - 11:20 AM","GITC 1100","Open","27","24","Guan, Hui","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12836","For students taking MATH 110"
"202410","ENGR101","ANALYTICAL METH FOR ENGR APPL","004","12836","W","11:30 AM - 12:50 PM","FMH 106","Open","27","24","Guan, Hui","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12836","For students taking MATH 110"
"202410","ENGR101","ANALYTICAL METH FOR ENGR APPL","004","12836","W","1:00 PM - 2:20 PM","GITC 2400","Open","27","24","Guan, Hui","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12836","For students taking MATH 110"
"202410","ENGR101","ANALYTICAL METH FOR ENGR APPL","006","12837","R","4:00 PM - 5:20 PM","GITC 2400","Open","27","24","Guan, Hui","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12837","For students taking MATH 110"
"202410","ENGR101","ANALYTICAL METH FOR ENGR APPL","006","12837","T","11:30 AM - 12:50 PM","FMH 314","Open","27","24","Guan, Hui","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12837","For students taking MATH 110"
"202410","ENGR101","ANALYTICAL METH FOR ENGR APPL","006","12837","TR","10:00 AM - 11:20 AM","GITC 1100","Open","27","24","Guan, Hui","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12837","For students taking MATH 110"
"202410","ENGR101","ANALYTICAL METH FOR ENGR APPL","008","12838","M","10:00 AM - 11:20 AM"," ","Closed","0","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12838","Cancelled 01/22/24"
"202410","ENGR101","ANALYTICAL METH FOR ENGR APPL","008","12838","TR","10:00 AM - 11:20 AM"," ","Closed","0","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12838","Cancelled 01/22/24"
"202410","ENGR101","ANALYTICAL METH FOR ENGR APPL","008","12838","W","1:00 PM - 2:20 PM"," ","Closed","0","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12838","Cancelled 01/22/24"
"202410","ENGR211","PROF. SKILLS FOR ENGINEERS I","102","12840","M","6:00 PM - 7:20 PM","FMH 409","Closed","35","35","Dorazio, Lucas","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12840","For Chemical Engineering Students Only<br />Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery<br />See syllabus for in-person meeting dates."
