"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","EVSC125","FUNDAMENTALS OF ENVR SCIENCES","002","12872","WF","1:00 PM - 2:20 PM","FMH 106","Open","25","13","Bonchonsky, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12872",""
"202410","EVSC325","ENERGY AND ENVIRONMENT","102","15954","R","6:00 PM - 8:50 PM","FMH 305","Open","30","20","Meng, Xianyang","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15954",""
"202410","EVSC340","ENVIRONMENTAL HEALTH","452","15869","","TBA"," ","Closed","20","20","Bonchonsky, Michael","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15869","Online Course"
"202410","EVSC375","ENVIRONMENTAL BIOLOGY","102","12873","W","6:00 PM - 8:50 PM","KUPF 117","Open","30","29","Qiu, Zeyuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12873",""
"202410","EVSC385","ENVIRONMENTAL MICROBIOLOGY","102","12874","T","6:00 PM - 8:50 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12874","Cancelled 10/25/23"
"202410","EVSC391","RESEARCH AND INDEPENDENT STUDY","843","12875","","TBA"," ","Open","19","0","Qiu, Zeyuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12875","See department for permission to enroll."
"202410","EVSC416","ENVIRONMENTAL TOXICOLOGY","002","12876","WF","10:00 AM - 11:20 AM","CULM 110","Open","25","16","Warner, Genoa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12876",""
"202410","EVSC591","GRADUATE WORK EXPERIENCE I","131","12877","","TBA"," ","Open","19","0","Sadik, Omowunmi","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12877","See department for permission to enroll."
"202410","EVSC591","GRADUATE WORK EXPERIENCE I","132","12878","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12878","See department for permission to enroll."
"202410","EVSC591","GRADUATE WORK EXPERIENCE I","135","12879","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12879","See department for permission to enroll."
"202410","EVSC591","GRADUATE WORK EXPERIENCE I","136","12880","","TBA"," ","Open","19","0","Gund, Tamara","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12880","See department for permission to enroll."
"202410","EVSC591","GRADUATE WORK EXPERIENCE I","137","12881","","TBA"," ","Open","19","0","Eberhart, Michael","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12881","See department for permission to enroll."
"202410","EVSC591","GRADUATE WORK EXPERIENCE I","138","12882","","TBA"," ","Open","19","0","Alipour Shakib, Farnaz","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12882","See department for permission to enroll."
"202410","EVSC591","GRADUATE WORK EXPERIENCE I","141","12883","","TBA"," ","Open","19","0","Casado Zapico, Sara","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12883","See department for permission to enroll."
"202410","EVSC591","GRADUATE WORK EXPERIENCE I","142","12884","","TBA"," ","Open","19","0","Belfield, Kevin","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12884","See department for permission to enroll."
"202410","EVSC591","GRADUATE WORK EXPERIENCE I","143","12885","","TBA"," ","Open","19","0","Li, Mengyan","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12885","See department for permission to enroll."
"202410","EVSC591","GRADUATE WORK EXPERIENCE I","144","12886","","TBA"," ","Open","19","0","Zhang, Lijie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12886","See department for permission to enroll."
"202410","EVSC591","GRADUATE WORK EXPERIENCE I","147","12887","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12887","See department for permission to enroll."
"202410","EVSC591","GRADUATE WORK EXPERIENCE I","148","12888","","TBA"," ","Open","19","0","Mitra, Somenath","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=12888","See department for permission to enroll."
