"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","FED101","FUNDAMENTALS OF ENGR DESIGN","EST","16176","","TBA"," ","Closed","0","13","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16176","For Essex School of Technology Students Only"
"202410","FED101","FUNDAMENTALS OF ENGR DESIGN","GRH","16243","","TBA"," ","Closed","0","1","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16243","For Glenridge High School Students Only"
"202410","FED101","FUNDAMENTALS OF ENGR DESIGN","HS1","15376","S","9:00 AM - 11:50 AM","CKB 220","Closed","0","13","Alkhoury, Keven","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15376","For High School Students Only"
"202410","FED101","FUNDAMENTALS OF ENGR DESIGN","JDT","16076","","TBA"," ","Closed","0","15","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16076","For John E. Dwyer Technology Academy Students Only"
"202410","FED101","FUNDAMENTALS OF ENGR DESIGN","MWH","16213","","TBA"," ","Closed","0","1","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16213","For Mahwah High School Students Only"
"202410","FED101","FUNDAMENTALS OF ENGR DESIGN","SCT","16214","","TBA"," ","Closed","0","8","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16214","For Sussex County Technical School Students Only"
"202410","FED101","ME - FUNDAMENTALS OF ENGR DESIGN","024","13037","W","11:30 AM - 2:20 PM","GITC 2302","Closed","30","35","Moon, Swapnil","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13037","ME Students ONLY"
"202410","FED101","ME - FUNDAMENTALS OF ENGR DESIGN","026","13038","T","8:30 AM - 11:20 AM","MALL PC37","Open","30","22","Mani, Balraj","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13038","ME Students ONLY"
"202410","FED101","ME - FUNDAMENTALS OF ENGR DESIGN","028","15858","R","10:00 AM - 12:50 PM","MALL PC37","Open","30","20","Mani, Balraj","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15858","ME Students ONLY"
"202410","FED101","NCE- FUNDAMENTALS OF ENGR DESIGN","002","13043","R","11:30 AM - 12:50 PM","GITC 1100","Closed","24","24","Borgaonkar, Ashish","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13043","For BME, CHE, CE, EE, COE, GEN, IE, & MTEN Majors Only"
"202410","FED101","NCE- FUNDAMENTALS OF ENGR DESIGN","002","13043","T","11:30 AM - 12:50 PM","MALL PC36","Closed","24","24","Borgaonkar, Ashish","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13043","For BME, CHE, CE, EE, COE, GEN, IE, & MTEN Majors Only"
"202410","FED101","NCE- FUNDAMENTALS OF ENGR DESIGN","004","13035","M","11:30 AM - 12:50 PM","MALL PC36","Open","24","22","Borgaonkar, Ashish","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13035","For BME, CHE, CE, EE, COE, GEN, IE, & MTEN Majors Only"
"202410","FED101","NCE- FUNDAMENTALS OF ENGR DESIGN","004","13035","R","11:30 AM - 12:50 PM","GITC 1100","Open","24","22","Borgaonkar, Ashish","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13035","For BME, CHE, CE, EE, COE, GEN, IE, & MTEN Majors Only"
"202410","FED101","NCE- FUNDAMENTALS OF ENGR DESIGN","006","15854","R","11:30 AM - 12:50 PM","GITC 1100","Open","24","22","Borgaonkar, Ashish","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15854","For BME, CHE, CE, EE, COE, GEN, IE, & MTEN Majors Only"
"202410","FED101","NCE- FUNDAMENTALS OF ENGR DESIGN","006","15854","T","4:00 PM - 5:20 PM","MALL PC36","Open","24","22","Borgaonkar, Ashish","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15854","For BME, CHE, CE, EE, COE, GEN, IE, & MTEN Majors Only"
"202410","FED101","NCE- FUNDAMENTALS OF ENGR DESIGN","008","13036","M","1:00 PM - 2:20 PM","MALL PC36","Closed","0","0","Borgaonkar, Ashish","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13036","For BME, CHE, CE, EE, COE, GEN, IE, & MTEN Majors Only"
