"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","FIN218","FINANCL MARKETS & INSTITUTIONS","002","13045","MW","1:00 PM - 2:20 PM","CKB 204","Closed","33","33","Wang, Jinghua","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13045",""
"202410","FIN218","FINANCL MARKETS & INSTITUTIONS","004","13046","TR","2:30 PM - 3:50 PM","KUPF 211","Closed","43","43","Liu, Yanguang","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13046",""
"202410","FIN218","FINANCL MARKETS & INSTITUTIONS","102","13047","M","6:00 PM - 8:50 PM","KUPF 104","Closed","43","43","Wang, Jinghua","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13047","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/22/24<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202410","FIN218","FINANCL MARKETS & INSTITUTIONS - HONORS","HM2","13048","MW","1:00 PM - 2:20 PM","CKB 204","Open","10","8","Wang, Jinghua","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13048","Honors Course"
"202410","FIN306","BLOCKCHAIN TECH FOR BUSINESS","002","13049","TR","2:30 PM - 3:50 PM","FMH 308","Closed","43","43","Shi, Junmin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13049","Students must bring their own device for this section."
"202410","FIN310","DATA-DRIVEN FINANCIAL MODELING","002","13050","MW","10:00 AM - 11:20 AM","CAB 3052","Closed","43","43","Chang, Ai Chih","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13050",""
"202410","FIN315","FUND OF CORPORATE FINANCE","002","13051","MW","10:00 AM - 11:20 AM","KUPF 118","Closed","33","33","Fox, Wayne","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13051",""
"202410","FIN315","FUND OF CORPORATE FINANCE","004","13052","TR","1:00 PM - 2:20 PM","KUPF 103","Closed","43","43","Fox, Wayne","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13052",""
"202410","FIN315","FUND OF CORPORATE FINANCE","102","13053","W","6:00 PM - 8:50 PM","ME 224","Open","43","41","Domasky, Peter","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13053",""
"202410","FIN315","FUND OF CORPORATE FINANCE","452","13054","","TBA"," ","Closed","30","30","Eliopoulos, George","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13054","Online Course"
"202410","FIN315","FUND OF CORPORATE FINANCE","454","13055","","TBA"," ","Closed","30","30","DeSanto, Elliot","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13055","Online Course"
"202410","FIN315","FUND OF CORPORATE FINANCE - HONORS","HM2","13056","MW","10:00 AM - 11:20 AM","KUPF 118","Open","10","6","Fox, Wayne","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13056","Honors Course"
"202410","FIN320","FIN DATA ANALYTICS","002","13057","TR","8:30 AM - 9:50 AM","KUPF 108","Closed","43","43","Liu, Yanguang","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13057",""
"202410","FIN403","FINANCIAL STATEMENT ANALYSIS","002","13058","MR","10:00 AM - 11:20 AM","WEST LECT 2","Open","35","23","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13058",""
"202410","FIN403","FINANCIAL STATEMENT ANALYSIS","452","15382","","TBA"," ","Open","30","7","Athari, Mahtab","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15382","Restricted for Online accelerated degree completion students<br />Class meets second half of the semester (3/5/24 - 5/9/24)"
"202410","FIN416","ADVANCED CORPORATE FINANCE","002","13059","MW","11:30 AM - 12:50 PM","ME 224","Open","43","36","Ehrlich, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13059",""
"202410","FIN490","INDEPENDENT STUDY IN FINANCE","942","13060","","TBA"," ","Open","19","1","Liu, Yanguang","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13060","See department for permission to enroll."
"202410","FIN600","CORPORATE FINANCE I","002","13061","T","2:30 PM - 5:20 PM","KUPF 107","Open","43","41","Ehrlich, Michael","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13061","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/16/24<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202410","FIN600","CORPORATE FINANCE I","004","16102","M","2:30 PM - 5:20 PM","CAB 3052","Open","43","15","Eliopoulos, George","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16102","Hybrid Course<br />Face-to-face meetings held alternate weeks starting:1/22/24<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202410","FIN600","CORPORATE FINANCE I","102","13062","W","6:00 PM - 8:50 PM","CKB 124","Closed","43","43","Tao, Xinyuan","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13062","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/17/24<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202410","FIN600","CORPORATE FINANCE I","852","13063","","TBA"," ","Closed","30","30","Tao, Xinyuan","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13063","Restricted to Newark Campus Students Only<br />Online Course"
"202410","FIN600","CORPORATE FINANCE I","854","13064","","TBA"," ","Closed","30","30","Ehrlich, Michael","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13064","Restricted to Virtual Campus Students Only<br />Online Course"
