"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","FRSC201","INTRO TO FORENSIC SCIENCE","002","13071","TR","2:30 PM - 3:50 PM","GITC 1100","Open","43","42","Parmelee, Kevin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13071",""
"202410","FRSC201","INTRO TO FORENSIC SCIENCE","102","13072","M","6:00 PM - 8:50 PM","KUPF 203","Open","43","42","Fisher, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13072",""
"202410","FRSC201","INTRO TO FORENSIC SCIENCE","KPS","16074","","TBA"," ","Closed","0","10","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16074","For Kearny Public Schools Students Only"
"202410","FRSC307","CRIME SCENE INVESTIGATION &LAB","002","13073","R","8:30 AM - 10:25 AM","KUPF 210","Closed","20","22","Parmelee, Kevin","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13073",""
"202410","FRSC307","CRIME SCENE INVESTIGATION &LAB","002","13073","T","8:30 AM - 12:50 PM","TIER 209","Closed","20","22","Parmelee, Kevin","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13073",""
"202410","FRSC307","CRIME SCENE INVESTIGATION &LAB","004","16146","R","8:30 AM - 10:25 AM","KUPF 210","Open","20","13","Parmelee, Kevin","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16146",""
"202410","FRSC307","CRIME SCENE INVESTIGATION &LAB","004","16146","W","8:30 AM - 12:50 PM","TIER 209","Open","20","13","Parmelee, Kevin","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16146",""
"202410","FRSC479","FORENSIC BIOLOGY & LAB","002","13074","R","1:00 PM - 5:20 PM","TIER 209","Open","32","9","Casado Zapico, Sara","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13074",""
"202410","FRSC479","FORENSIC BIOLOGY & LAB","002","13074","T","1:00 PM - 2:55 PM","TIER 209","Open","32","9","Casado Zapico, Sara","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13074",""
"202410","FRSC480","FORENSIC MICROSCOPY & LAB","002","13075","M","11:30 AM - 3:50 PM","TIER 209","Open","24","16","Fisher, David","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13075",""
"202410","FRSC480","FORENSIC MICROSCOPY & LAB","002","13075","W","12:15 PM - 2:10 PM","FMH 305","Open","24","16","Fisher, David","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13075",""
"202410","FRSC490","CO-OP WORK EXPERIENCE","140","13076","","TBA"," ","Open","19","1","Fisher, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13076","See department for permission to enroll."
"202410","FRSC491","RESEARCH & INDEP STUDY I","131","13077","","TBA"," ","Open","19","0","Sadik, Omowunmi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13077","See department for permission to enroll."
"202410","FRSC491","RESEARCH & INDEP STUDY I","132","13078","","TBA"," ","Open","19","0","Chen, Hao","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13078","See department for permission to enroll."
"202410","FRSC491","RESEARCH & INDEP STUDY I","133","13079","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13079","See department for permission to enroll."
"202410","FRSC491","RESEARCH & INDEP STUDY I","135","13080","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13080","See department for permission to enroll."
"202410","FRSC491","RESEARCH & INDEP STUDY I","136","13081","","TBA"," ","Open","19","0","Gund, Tamara","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13081","See department for permission to enroll."
"202410","FRSC491","RESEARCH & INDEP STUDY I","137","13082","","TBA"," ","Open","19","0","Eberhart, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13082","See department for permission to enroll."
"202410","FRSC491","RESEARCH & INDEP STUDY I","138","13083","","TBA"," ","Open","19","0","Alipour Shakib, Farnaz","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13083","See department for permission to enroll."
"202410","FRSC491","RESEARCH & INDEP STUDY I","141","13084","","TBA"," ","Open","19","1","Casado Zapico, Sara","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13084","See department for permission to enroll."
"202410","FRSC491","RESEARCH & INDEP STUDY I","142","13085","","TBA"," ","Open","19","0","Belfield, Kevin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13085","See department for permission to enroll."
"202410","FRSC491","RESEARCH & INDEP STUDY I","143","13086","","TBA"," ","Open","19","0","Li, Mengyan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13086","See department for permission to enroll."
"202410","FRSC491","RESEARCH & INDEP STUDY I","144","13087","","TBA"," ","Open","19","0","Zhang, Lijie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13087","See department for permission to enroll."
"202410","FRSC491","RESEARCH & INDEP STUDY I","147","13088","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13088","See department for permission to enroll."
"202410","FRSC491","RESEARCH & INDEP STUDY I","148","13089","","TBA"," ","Open","19","0","Mitra, Somenath","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13089","See department for permission to enroll."
"202410","FRSC491","RESEARCH & INDEP STUDY I","151","13090","","TBA"," ","Open","19","0","Warner, Genoa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13090","See department for permission to enroll."
"202410","FRSC491","RESEARCH & INDEP STUDY I","152","13091","","TBA"," ","Open","19","0","Zhang, Yuanwei","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13091","See department for permission to enroll."
"202410","FRSC491","RESEARCH & INDEP STUDY I","156","13092","","TBA"," ","Open","19","0","Farinas, Edgardo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13092","See department for permission to enroll."
"202410","FRSC491","RESEARCH & INDEP STUDY I","158","13093","","TBA"," ","Open","19","0","Khalizov, Alexei","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13093","See department for permission to enroll."
"202410","FRSC491","RESEARCH & INDEP STUDY I","843","13094","","TBA"," ","Open","19","0","Qiu, Zeyuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13094","See department for permission to enroll."
"202410","FRSC498","ST: INTERNATIONAL PERSPECTIVES ON FORENSIC SCIENCE","002","13095","R","11:30 AM - 12:50 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13095","Cancelled 11/22/23"
"202410","FRSC498","ST: INTERNATIONAL PERSPECTIVES ON FORENSIC SCIENCE","002","13095","T","4:00 PM - 5:20 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13095","Cancelled 11/22/23"
"202410","FRSC498","ST: MOBILE DEVICE FORENSICS","102","15859","M","6:00 PM - 8:50 PM","TIER 107","Open","20","4","Epstein, Brandon","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15859",""
