"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","FYSSEM","FIRST-YEAR SEMINAR","002","13096","M","2:30 PM - 3:50 PM","CKB 315","Closed","0","10","Baldwin, Ryan","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13096",""
"202410","FYSSEM","FIRST-YEAR SEMINAR","004","13097","W","11:30 AM - 12:50 PM","FMH 403","Closed","0","23","Vandervort, Jenna","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13097",""
"202410","FYSSEM","FIRST-YEAR SEMINAR","454","13098","","TBA"," ","Closed","0","9","Baldwin, Ryan","Online Newark","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13098","Online Course"
"202410","FYSSEM","FIRST-YEAR SEMINAR","456","13099","","TBA"," ","Closed","0","6","Bartlett, Alexis","Online Newark","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13099","Online Course"
"202410","FYSSEM","FIRST-YEAR SEMINAR","S10","13100","W","10:00 AM - 11:20 AM","FMH 403","Closed","0","0","","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13100",""
"202410","FYSSEM","FIRST-YEAR SEMINAR","S12","13101","","TBA"," ","Closed","0","23","Mongelli, Kelly","Online Newark","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13101","Online Course"
"202410","FYSSEM","FIRST-YEAR SEMINAR","SP2","13102","T","10:00 AM - 11:20 AM","FMH 108","Closed","0","19","Howard, Jasmine","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13102",""
"202410","FYSSEM","FIRST-YEAR SEMINAR","SP4","13103","W","1:00 PM - 2:20 PM","FMH 403","Closed","0","9","Bartlett, Alexis","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13103",""
"202410","FYSSEM","FIRST-YEAR SEMINAR","SP6","13104","T","2:30 PM - 3:50 PM","FMH 108","Closed","0","15","Vega, Nancy","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13104",""
"202410","FYSSEM","FIRST-YEAR SEMINAR","SP8","13105","R","1:00 PM - 2:20 PM","FMH 309","Closed","0","5","Moncayo, Frans","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13105",""
