"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","HIST213","THE TWENTIETH-CENTURY WORLD","002","13106","MW","11:30 AM - 12:50 PM","KUPF 107","Closed","32","32","Kostopoulou, Ilektra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13106",""
"202410","HIST213","THE TWENTIETH-CENTURY WORLD","004","13107","MW","1:00 PM - 2:20 PM","FMH 307","Closed","32","32","Kostopoulou, Ilektra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13107",""
"202410","HIST213","THE TWENTIETH-CENTURY WORLD","006","13108","MW","11:30 AM - 12:50 PM","CKB 114","Closed","32","32","Friedman, Matthew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13108",""
"202410","HIST213","THE TWENTIETH-CENTURY WORLD","008","13109","TR","4:00 PM - 5:20 PM","CULM LECT 1","Closed","18","18","Kent, Scott","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13109",""
"202410","HIST213","THE TWENTIETH-CENTURY WORLD","102","13110","R","6:00 PM - 8:50 PM","TIER 106","Closed","32","32","Morrison-Santana, Deborah","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13110",""
"202410","HIST213","THE TWENTIETH-CENTURY WORLD","104","13111","M","6:00 PM - 8:50 PM","CKB 114","Closed","32","32","Fuller, Frank","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13111",""
"202410","HIST213","THE TWENTIETH-CENTURY WORLD - HONORS","HM2","13112","TR","4:00 PM - 5:20 PM","CULM LECT 1","Open","10","4","Kent, Scott","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13112","Honors Course"
"202410","HIST214","TECH & CULT IN AMER HISTORY","002","13113","TR","10:00 AM - 11:20 AM","TIER 113","Closed","32","32","Arcadi, Teal","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13113",""
"202410","HIST214","TECH & CULT IN AMER HISTORY","004","13114","TR","11:30 AM - 12:50 PM","CKB 114","Closed","32","32","Arcadi, Teal","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13114",""
"202410","HIST310","HISTORY CO-OP I","004","13116","","TBA"," ","Open","19","0","Pemberton, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13116","HISTORY Majors Only<br />For permit or information, email:  alison.lefkovitz@njit.edu<br />HIST 310 does not fulfill any GER<br />See department for permission to enroll."
"202410","HIST310","LTC CO-OP I","002","13115","","TBA"," ","Open","19","0","Pemberton, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13115","LTC Majors Only<br />For permit or information, email:  alison.lefkovitz@njit.edu<br />HIST 310 does not fulfill any GER<br />See department for permission to enroll."
"202410","HIST311","HISTORY CO-OP II","004","13118","","TBA"," ","Open","19","0","Pemberton, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13118","For HIST majors who have already completed HIST 310<br />For permit or information, email:  alison.lefkovitz@njit.edu<br />HIST 311 does not fulfill any GER<br />See department for permission to enroll."
"202410","HIST311","LTC CO-OP II","002","13117","","TBA"," ","Open","19","0","Pemberton, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13117","For LTC majors who have already completed HIST 310<br />For permit or information, email:  alison.lefkovitz@njit.edu<br />HIST 311 does not fulfill any GER<br />See department for permission to enroll."
"202410","HIST312","PROF DEVELOPMENT IN LAW","002","13119","M","4:00 PM - 5:20 PM","CULM 307","Open","15","5","Guerriero, Carla","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13119","Class Meets 1/22/2024 - 4/15/2024<br />For students planning on applying to law school."
"202410","HIST320","LAW AND EVIDENCE","002","13120","MW","10:00 AM - 11:20 AM","ME 224","Closed","32","32","Casciola, Nicole","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13120",""
"202410","HIST329","DANTE: HELL, HEAVEN, FLORENCE - HONORS","H02","13121","T","6:00 PM - 8:50 PM","DHRH 210","Closed","0","17","Hamilton, Louis","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13121","Honors Course<br />Department Permission Required<br />Study Abroad Component<br />Email CJG@NJIT.EDU for Information"
"202410","HIST338","ENVIRONMENTAL JUSTICE HISTORY","002","13122","MW","1:00 PM - 2:20 PM","TIER 114","Open","32","31","Maher, Neil","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13122",""
"202410","HIST362","SEX, GENDER & LAW IN AMER HIST","002","13123","TR","2:30 PM - 3:50 PM","TIER 114","Closed","32","32","Lefkovitz, Alison","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13123",""
"202410","HIST367","INTERNATIONAL LAW AND DIPLMCY","002","13124","TR","4:00 PM - 5:20 PM","TIER 114","Closed","32","32","Morrison-Santana, Deborah","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13124",""
"202410","HIST369","LAW AND SOCIETY IN HISTORY - HONORS","H02","13125","TR","10:00 AM - 11:20 AM","CKB 114","Open","24","21","Lefkovitz, Alison","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13125","Honors Course"
"202410","HIST370","LEGAL ISSUES IN MEDIA HISTORY","102","13126","R","6:00 PM - 8:50 PM","CKB 114","Closed","32","32","Cohen, Richard","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13126",""
"202410","HIST372","CONTEMPORARY EUROPE","002","13127","TR","1:00 PM - 2:20 PM","FMH 205","Closed","32","33","Petursson, Svanur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13127",""
"202410","HIST380","HISTORY OF PUBLIC HEALTH - HONORS","H02","13128","TR","1:00 PM - 2:20 PM","TIER 114","Open","24","21","Dent, Rosanna","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13128","Honors Course"
"202410","HIST382","WAR AND SOCIETY","002","13129","MW","1:00 PM - 2:20 PM","FMH 407","Closed","32","32","Schweizer, Karl","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13129",""
"202410","HIST388","20TH CENTURY BRITAIN","102","13130","W","6:00 PM - 8:50 PM","CULM LECT 1","Closed","32","32","Kent, Scott","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13130",""
"202410","HIST390","HISTL PROB THROUGH FILM","102","13131","T","6:00 PM - 8:50 PM","TIER 107","Open","32","29","Petursson, Svanur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13131","See Department for Topics"
"202410","HIST401","INDEPENDENT STUDY","033","13132","","TBA"," ","Open","19","0","Kostopoulou, Ilektra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13132","See department for permission to enroll.<br />Email: history@njit.edu"
"202410","HIST401","INDEPENDENT STUDY","140","13133","","TBA"," ","Open","19","0","Schweizer, Karl","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13133","Permission Required<br />Email: history@njit.edu<br />See department for permission to enroll."
"202410","HIST401","INDEPENDENT STUDY","455","13134","","TBA"," ","Open","19","0","Dent, Rosanna","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13134","Permission Required<br />Email: history@njit.edu<br />See department for permission to enroll."
"202410","HIST401","INDEPENDENT STUDY","641","13135","","TBA"," ","Open","19","0","Pemberton, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13135","Permission Required<br />Email: history@njit.edu<br />See department for permission to enroll."
"202410","HIST401","INDEPENDENT STUDY","662","13136","","TBA"," ","Open","19","0","Arcadi, Teal","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13136","Permission Required<br />Email: history@njit.edu<br />See department for permission to enroll."
"202410","HIST401","INDEPENDENT STUDY","690","13137","","TBA"," ","Open","19","1","Lefkovitz, Alison","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13137","Permission Required<br />Email: history@njit.edu<br />See department for permission to enroll."
"202410","HIST401","INDEPENDENT STUDY","841","13138","","TBA"," ","Open","19","0","Maher, Neil","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13138","Permission Required<br />Email: history@njit.edu<br />See department for permission to enroll."
"202410","HIST401","INDEPENDENT STUDY - HONORS","H02","13139","","TBA"," ","Open","19","1","Lefkovitz, Alison","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13139","Honors Course<br />Email: history@njit.edu<br />Permission Required<br />See department for permission to enroll."
"202410","HIST402","INDEPENDENT STUDY","033","13140","","TBA"," ","Open","19","0","Kostopoulou, Ilektra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13140","See department for permission to enroll."
"202410","HIST402","INDEPENDENT STUDY","140","13141","","TBA"," ","Open","19","0","Schweizer, Karl","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13141","Permission Required<br />Email: history@njit.edu<br />See department for permission to enroll."
"202410","HIST402","INDEPENDENT STUDY","455","13142","","TBA"," ","Open","19","0","Dent, Rosanna","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13142","Permission Required<br />Email: history@njit.edu<br />See department for permission to enroll."
"202410","HIST402","INDEPENDENT STUDY","641","13143","","TBA"," ","Open","19","0","Pemberton, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13143","Permission Required<br />Email: history@njit.edu<br />See department for permission to enroll."
"202410","HIST402","INDEPENDENT STUDY","662","13144","","TBA"," ","Open","19","0","Arcadi, Teal","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13144","Permission Required<br />Email: history@njit.edu<br />See department for permission to enroll."
"202410","HIST402","INDEPENDENT STUDY","690","13145","","TBA"," ","Open","19","0","Lefkovitz, Alison","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13145","Permission Required<br />Email: history@njit.edu<br />See department for permission to enroll."
"202410","HIST402","INDEPENDENT STUDY","841","13146","","TBA"," ","Open","19","0","Maher, Neil","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13146","Permission Required<br />Email: history@njit.edu<br />See department for permission to enroll."
"202410","HIST402","INDEPENDENT STUDY - HONORS","H02","13147","","TBA"," ","Open","19","0","Pemberton, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13147","Honors Course<br />Permission Required<br />Email:  history@njit.edu<br />See department for permission to enroll."
"202410","HIST490","RESEARCH SEMINAR: ENVIRONMENTAL INEQUALITY AND JUSTICE IN POST-WORLD WAR II AMERICA","002","13148","MW","10:00 AM - 11:20 AM","CULM 307","Open","15","6","Maher, Neil","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13148",""
"202410","HIST701B","MASTER'S THESIS","033","13149","","TBA"," ","Open","19","0","Kostopoulou, Ilektra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13149","See department for permission to enroll.<br />Email: history@njit.edu"
"202410","HIST701B","MASTER'S THESIS","140","13150","","TBA"," ","Open","19","0","Schweizer, Karl","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13150","Permission Required<br />Email: history@njit.edu<br />See department for permission to enroll."
