"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","HSS404","ENG SEM: CYBERPUNK ON PAGE AND SCREEN","020","13209","MW","10:00 AM - 11:20 AM","CKB 223","Closed","20","22","Siemann, Catherine","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13209",""
"202410","HSS404","ENG SEM: FAKE NEWS AND MISINFORMATION: A CLOSER LOOK","112","13230","T","6:00 PM - 8:50 PM","CKB 219","Closed","20","23","Crespo Solis, Andres","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13230",""
"202410","HSS404","ENG SEM: FOOD NARRATIVES: DUMPLINGS, GUMBO, BURGERS & MORE","040","13219","W","10:00 AM - 11:20 AM","CKB 215","Closed","20","24","Gorelick, Risa","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13219","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202410","HSS404","ENG SEM: FOOD NARRATIVES: DUMPLINGS, GUMBO, BURGERS & MORE","040","13219","","TBA"," ","Closed","20","24","Gorelick, Risa","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13219","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202410","HSS404","ENG SEM: GRAPHIC NOVELS, COMICS AND CARTOONS","008","13203","TR","2:30 PM - 3:50 PM","FMH 409","Closed","20","24","Slovis, Jake","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13203",""
"202410","HSS404","ENG SEM: GRAPHIC NOVELS, COMICS AND CARTOONS","010","13204","TR","4:00 PM - 5:20 PM","KUPF 209","Closed","20","24","Slovis, Jake","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13204",""
"202410","HSS404","ENG SEM: MEMES - MEDIA, GENRES, AND APPLICATIONS","016","13207","WF","10:00 AM - 11:20 AM","TIER 113","Closed","20","23","Deane, Johanna","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13207",""
"202410","HSS404","ENG SEM: MEMES - MEDIA, GENRES, AND APPLICATIONS","018","13208","WF","1:00 PM - 2:20 PM","CULM 110","Closed","20","23","Deane, Johanna","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13208",""
"202410","HSS404","HISTORY SEMINAR:  INTERNATIONAL RELATIONS","102","13225","T","6:00 PM - 8:50 PM","FMH 405","Closed","20","22","Schweizer, Karl","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13225",""
"202410","HSS404","HISTORY SEMINAR: ENVIRONMENTAL INEQUALITY AND CLIMATE JUSTICE","054","16192","MW","1:00 PM - 2:20 PM"," ","Cancelled","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16192","Cancelled 01/03/24"
"202410","HSS404","HISTORY SEMINAR: INFRASTRUCTURE AND INEQUALITY","002","13200","MW","1:00 PM - 2:20 PM","CULM LECT 2","Closed","20","24","Arcadi, Teal","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13200",""
"202410","HSS404","HISTORY SEMINAR: INFRASTRUCTURE AND INEQUALITY - HONORS","H02","13233","MW","11:30 AM - 12:50 PM","CULM 111","Open","20","18","Arcadi, Teal","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13233","Honors Course"
"202410","HSS404","HISTORY SEMINAR: MOVEMENT OF MIGRANTS AND REFUGEES IN THE EASTERN MEDITERRANEAN","004","13201","TR","11:30 AM - 12:50 PM","CKB 310","Closed","20","23","Kostopoulou, Ilektra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13201",""
"202410","HSS404","HISTORY SEMINAR: MOVEMENT OF MIGRANTS AND REFUGEES IN THE EASTERN MEDITERRANEAN","006","13202","TR","1:00 PM - 2:20 PM","FMH 409","Closed","20","23","Kostopoulou, Ilektra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13202",""
"202410","HSS404","LIT SEM: HOW LEGENDS BECOME MYTHS: A JOURNEY THROUGH CLASSIC GREEK LITERATURE","022","13210","MW","1:00 PM - 2:20 PM","CKB 120","Closed","20","22","Egan, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13210",""
"202410","HSS404","LIT SEM: MYSTERY WRITERS ON SCREEN","104","13226","T","6:00 PM - 8:50 PM","FMH 409","Closed","20","21","Esche, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13226",""
"202410","HSS404","LIT SEM: MYSTERY WRITERS ON SCREEN","106","13227","R","6:00 PM - 8:50 PM","CULM 111","Closed","20","22","Esche, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13227",""
"202410","HSS404","LIT SEM: NEWARK NARRATIVES: ART/CULTURE/SITE LITERACIES","108","13228","T","6:00 PM - 8:50 PM","TIER 112","Closed","20","23","Curley, Jonathan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13228",""
"202410","HSS404","LIT SEM: NEWARK NARRATIVES: ART/CULTURE/SITE LITERACIES - HONORS","H04","13234","TR","1:00 PM - 2:20 PM","KUPF 205","Closed","20","20","Curley, Jonathan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13234","Honors Course"
"202410","HSS404","LIT SEM: NEWARK NARRATIVES: ART/CULTURE/SITE LITERACIES - HONORS","H06","13235","R","6:00 PM - 8:50 PM","TIER 112","Closed","20","21","Curley, Jonathan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13235","Honors Course"
"202410","HSS404","LIT SEM: THE ART OF FILM: LOVE, WAR & COMIC RELIEF","110","13229","F","8:30 AM - 11:20 AM"," ","Cancelled","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13229","Cancelled 12/22/23"
"202410","HSS404","LIT SEM: THE BRICK CITY, HOW NEWARK BECAME NEWARK - HONORS","H10","13237","TR","11:30 AM - 12:50 PM","CKB 212","Closed","20","20","Ascarelli, Miriam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13237","Honors Course"
"202410","HSS404","LIT SEM: TRAGICOMEDY ACROSS GENRES","026","13212","MR","8:30 AM - 9:50 AM","FMH 106","Closed","20","20","McRae, Calista","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13212",""
"202410","HSS404","LIT SEM: TRAGICOMEDY ACROSS GENRES","042","13220","MW","10:00 AM - 11:20 AM","FMH 321","Closed","20","20","McRae, Calista","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13220",""
"202410","HSS404","LIT: THE PULSE OF SHORT FICTION TODAY","050","15845","M","2:30 PM - 3:50 PM","CKB 126","Closed","20","20","Kimmelman, Burt","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15845","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","HSS404","LIT: THE PULSE OF SHORT FICTION TODAY","050","15845","","TBA"," ","Closed","20","20","Kimmelman, Burt","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15845","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","HSS404","PHIL SEM: AI ETHICS","024","13211","TR","1:00 PM - 2:20 PM","KUPF 209","Closed","20","22","Estrada, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13211",""
"202410","HSS404","STS SEM: BECOMING AN EFFECTIVE EXPERT: HOW TO COMMUNICATE TO DIVERSE AUDIENCES","452","13231","","TBA"," ","Closed","20","24","Lipuma, James","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13231","Online Course"
"202410","HSS404","STS SEM: BECOMING AN EFFECTIVE EXPERT: HOW TO COMMUNICATE TO DIVERSE AUDIENCES","454","13232","","TBA"," ","Closed","20","24","Lipuma, James","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13232","Online Course"
"202410","HSS404","STS SEM: CYBORG ANTHROPOLOGY","052","13224","MW","1:00 PM - 2:20 PM","FMH 409","Closed","20","24","Brooks, Charles","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13224",""
"202410","HSS404","STS SEM: DIVERSITY, SOCIETY, AND ME","028","13213","TR","11:30 AM - 12:50 PM","CKB 314","Closed","20","23","Khichi, Narendra-Neel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13213",""
"202410","HSS404","STS SEM: HAPPINESS AND THE GOOD LIFE","030","13214","TR","8:30 AM - 9:50 AM","CKB 315","Closed","20","22","Khichi, Narendra-Neel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13214",""
"202410","HSS404","STS SEM: HAPPINESS AND THE GOOD LIFE","032","13215","TR","10:00 AM - 11:20 AM","CULM 111","Closed","20","24","Khichi, Narendra-Neel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13215",""
