"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","IE224","PRODUCTION PROCESS DESIGN","002","13243","TF","4:00 PM - 5:20 PM","GITC 2305","Closed","30","30","Das, Sanchoy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13243",""
"202410","IE331","APPLIED STATISTICAL METHODS","002","13244","MR","4:00 PM - 5:20 PM","GITC 2305","Open","30","12","Bengu, Golgen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13244",""
"202410","IE334","ENGR ECO & CPTL INV ANAL","002","13245","TF","10:00 AM - 11:20 AM","GITC 2305","Closed","30","30","Bladikas, Athanassios","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13245",""
"202410","IE335","ENGR COST ANAL & CONTROL","452","13246","","TBA"," ","Closed","30","30","Dumay, Dielanda","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13246","Online Course"
"202410","IE335","ENGR COST ANAL & CONTROL","454","13247","","TBA"," ","Closed","30","30","Dumay, Dielanda","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13247","Online Course"
"202410","IE335","ENGR COST ANAL & CONTROL","456","16143","","TBA"," ","Closed","30","30","Dumay, Dielanda","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16143","Online Course"
"202410","IE339","WORK MEASUREMENT AND STANDARDS","102","13248","T","6:00 PM - 10:05 PM","GITC 2311","Closed","20","20","Tovar, Sandra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13248",""
"202410","IE355","HUMAN FACTORS IN IE","104","13250","S","9:00 AM - 11:50 AM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13250","Cancelled 10/25/23"
"202410","IE355","IE 355-102 HUMAN FACTORS IN INDUSTRIAL ENGINEERING","102","13249","R","6:00 PM - 8:50 PM","CKB 303","Closed","40","40","Kothari, Prakash","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13249",""
"202410","IE440","STOCHASTIC MOD IN OPER RESRCH","102","13251","R","6:00 PM - 8:50 PM","ME 221","Open","36","19","Abdel-Malek, Layek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13251",""
"202410","IE440","STOCHASTIC MOD IN OPER RESRCH - HONORS","HM2","13252","R","6:00 PM - 8:50 PM","ME 221","Open","7","0","Abdel-Malek, Layek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13252","Honors Course"
