"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","IS117","INTRO TO WEBSITE DEVELOPMENT","004","13373","WF","1:00 PM - 2:20 PM","CKB 215","Closed","35","35","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13373","Students must bring their own device for this section."
"202410","IS117","INTRO TO WEBSITE DEVELOPMENT","006","13374","WF","8:30 AM - 9:50 AM","CKB 226","Closed","35","35","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13374","Students must bring their own device for this section."
"202410","IS117","INTRO TO WEBSITE DEVELOPMENT","102","13375","T","6:00 PM - 8:50 PM","FENS 160","Closed","38","38","Hendela, Arthur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13375",""
"202410","IS218","BUILDING WEB APPLICATIONS","002","13376","MR","11:30 AM - 12:50 PM","TIER 113","Open","40","32","Zhang, Yunhao","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13376","Students must bring their own device for this section."
"202410","IS218","BUILDING WEB APPLICATIONS","004","13377","MR","1:00 PM - 2:20 PM","CKB 219","Open","35","28","Zhang, Jiaxing","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13377","Students must bring their own device for this section."
"202410","IS219","ADV WEBSITE DEVELOPMENT","002","13378","MR","2:30 PM - 3:50 PM","CKB 320","Open","35","30","Williams, Keith","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13378","Students must bring their own device for this section."
"202410","IS219","ADV WEBSITE DEVELOPMENT","FHS","16244","","TBA"," ","Closed","0","1","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16244","For Freehold High School Students Only"
"202410","IS219","ADV WEBSITE DEVELOPMENT","PSE","16245","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16245","For Passaic Academy for Science & Engineering Students Only"
"202410","IS247","DESIGNING THE USER EXPERIENCE","002","13379","MW","10:00 AM - 11:20 AM","CKB 206","Closed","35","35","Lee, Sooyeon","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13379",""
"202410","IS247","DESIGNING THE USER EXPERIENCE","004","13380","MR","2:30 PM - 3:50 PM","CKB 206","Closed","35","35","Pradhan, Alisha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13380",""
"202410","IS247","DESIGNING THE USER EXPERIENCE","006","13381","MW","8:30 AM - 9:50 AM","CKB G-08","Closed","35","35","Spryszynski, Adam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13381",""
"202410","IS247","DESIGNING THE USER EXPERIENCE","102","13382","T","6:00 PM - 8:50 PM","CKB 313","Open","35","34","Spryszynski, Adam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13382",""
"202410","IS265","INTRO TO INFORMATION SYSTEMS","002","13383","TR","1:00 PM - 2:20 PM","CKB 120","Closed","35","35","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13383",""
"202410","IS265","INTRO TO INFORMATION SYSTEMS","004","13384","TF","2:30 PM - 3:50 PM","CKB 313","Closed","35","35","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13384",""
"202410","IS265","INTRO TO INFORMATION SYSTEMS","006","13385","MR","10:00 AM - 11:20 AM","TIER 105","Closed","35","35","Hendela, Arthur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13385",""
"202410","IS265","INTRO TO INFORMATION SYSTEMS","102","16161","M","6:00 PM - 8:50 PM","FMH 308","Open","35","24","Arroyo, Angela","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16161",""
"202410","IS322","MOBILE APPLICATIONS: DESIGN","102","13386","F","6:00 PM - 8:50 PM","CKB 219","Open","35","19","Williams, Keith","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13386",""
"202410","IS331","DATABASE DESIGN, MGMT & APPL","002","13387","M","1:00 PM - 2:20 PM","GITC 2302","Closed","38","38","Hendela, Arthur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13387","Students must bring their own device for this section."
"202410","IS331","DATABASE DESIGN, MGMT & APPL","002","13387","T","1:00 PM - 2:20 PM","CKB 217","Closed","38","38","Hendela, Arthur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13387","Students must bring their own device for this section."
"202410","IS331","DATABASE DESIGN, MGMT & APPL","004","13388","M","2:30 PM - 3:50 PM","TIER 106","Closed","35","35","Hendela, Arthur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13388","Students must bring their own device for this section."
"202410","IS331","DATABASE DESIGN, MGMT & APPL","004","13388","T","2:30 PM - 3:50 PM","CKB 320","Closed","35","35","Hendela, Arthur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13388","Students must bring their own device for this section."
"202410","IS331","DATABASE DESIGN, MGMT & APPL","006","13389","TF","10:00 AM - 11:20 AM","TIER 105","Closed","38","38","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13389","Students must bring their own device for this section."
"202410","IS331","DATABASE DESIGN, MGMT & APPL","452","13390","","TBA"," ","Closed","30","30","Markson, Christopher","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13390","Online Course"
"202410","IS344","COMPUTING APPLICATIONS IN BUS","002","13391","T","10:00 AM - 11:20 AM","CKB 317","Open","35","33","Ullman, David","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13391","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
