"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","IT101","INTRO TO INFORMTN TECHNOLGY","002","13711","MR","10:00 AM - 11:20 AM","CKB 219","Closed","35","35","Watrous-deVersterre, Lori","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13711",""
"202410","IT101","INTRO TO INFORMTN TECHNOLGY","102","13712","M","6:00 PM - 8:50 PM","CKB 226","Closed","35","35","Nazzaro, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13712",""
"202410","IT101","INTRO TO INFORMTN TECHNOLGY","104","13713","W","6:00 PM - 8:50 PM","CKB 226","Closed","35","35","Nazzaro, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13713",""
"202410","IT114","ADV PROGRAM FOR INFOR TECH","002","13714","MW","8:30 AM - 9:50 AM","CKB 206","Closed","35","35","Toegel, Matthew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13714","Students must bring their own device for this section."
"202410","IT114","ADV PROGRAM FOR INFOR TECH","004","13715","TR","1:00 PM - 2:20 PM","CKB 124","Closed","43","43","Toegel, Matthew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13715","Students must bring their own device for this section."
"202410","IT114","ADV PROGRAM FOR INFOR TECH","006","15953","MW","11:30 AM - 12:50 PM","CKB 317","Closed","38","39","Toegel, Matthew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15953","Students must bring their own device for this section."
"202410","IT120","INTRO TO NETWORKING TECHNOLOGY","002","13716","MW","11:30 AM - 12:50 PM","GITC 1202","Closed","30","30","Farley, Jennifer","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13716",""
"202410","IT120","INTRO TO NETWORKING TECHNOLOGY","004","13717","MR","2:30 PM - 3:50 PM","GITC 1202","Closed","30","30","Watrous-deVersterre, Lori","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13717",""
"202410","IT120","INTRO TO NETWORKING TECHNOLOGY","006","16066","MR","8:30 AM - 9:50 AM","GITC 1202","Closed","30","30","Watrous-deVersterre, Lori","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16066",""
"202410","IT120","INTRO TO NETWORKING TECHNOLOGY","008","16210","TF","2:30 PM - 3:50 PM","GITC 1202","Closed","30","30","Farley, Jennifer","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16210",""
"202410","IT120","INTRO TO NETWORKING TECHNOLOGY","102","13718","T","6:00 PM - 8:50 PM","GITC 1202","Open","30","29","Martino, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13718",""
"202410","IT120","INTRO TO NETWORKING TECHNOLOGY","104","13719","M","6:00 PM - 8:50 PM","GITC 1202","Closed","30","30","Apostolyuk, Vadym","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13719",""
"202410","IT201","INFORMATION DESIGN TECHNIQUES","002","13720","M","1:00 PM - 2:20 PM","GITC 3200","Closed","26","26","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13720","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202410","IT201","INFORMATION DESIGN TECHNIQUES","002","13720","","TBA"," ","Closed","26","26","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13720","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202410","IT201","INFORMATION DESIGN TECHNIQUES","004","13721","M","2:30 PM - 3:50 PM","GITC 3200","Closed","26","26","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13721","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202410","IT201","INFORMATION DESIGN TECHNIQUES","004","13721","","TBA"," ","Closed","26","26","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13721","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
