"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","MATH105","ELEM PROBABILITY & STATISTICS","002","13794","TR","4:00 PM - 5:20 PM","TIER 112","Closed","34","34","Dandan, Raed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13794",""
"202410","MATH105","ELEM PROBABILITY & STATISTICS","004","13795","TR","10:00 AM - 11:20 AM","FMH 110","Closed","34","35","Horwitz, Kenneth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13795",""
"202410","MATH105","ELEM PROBABILITY & STATISTICS","006","13796","TR","4:00 PM - 5:20 PM","CKB 313","Closed","34","34","Jean, Jason","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13796",""
"202410","MATH105","ELEM PROBABILITY & STATISTICS","008","13797","TF","2:30 PM - 3:50 PM","CKB 226","Closed","34","35","Jean, Jason","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13797",""
"202410","MATH105","ELEM PROBABILITY & STATISTICS","010","13798","TR","11:30 AM - 12:50 PM","KUPF 204","Closed","34","35","Bouayad, Rachid","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13798",""
"202410","MATH105","ELEM PROBABILITY & STATISTICS","012","13799","TR","1:00 PM - 2:20 PM","CKB 313","Closed","34","34","Horwitz, Kenneth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13799",""
"202410","MATH105","ELEM PROBABILITY & STATISTICS","014","13800","TF","1:00 PM - 2:20 PM","CKB 223","Closed","34","34","Flax, Amy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13800",""
"202410","MATH105","ELEM PROBABILITY & STATISTICS","016","13801","TF","2:30 PM - 3:50 PM","CKB 206","Closed","34","34","Carter, Sunletha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13801",""
"202410","MATH105","ELEM PROBABILITY & STATISTICS","102","13802","M","6:00 PM - 8:50 PM","TIER 111","Closed","34","34","Hercules-Menjivar, Manuel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13802",""
"202410","MATH105","ELEM PROBABILITY & STATISTICS","104","13803","F","6:00 PM - 8:50 PM","CKB 226","Closed","34","34","Dandan, Raed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13803",""
"202410","MATH105","ELEM PROBABILITY & STATISTICS","PSE","16259","","TBA"," ","Closed","0","2","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16259","For Passaic Academy for Science & Engineering Students Only"
"202410","MATH107","UNIVERSITY MATHEMATICS A","002","13804","TF","4:00 PM - 5:20 PM","TIER 108","Open","34","33","Smaily, Cambiz","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13804","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","MATH107","UNIVERSITY MATHEMATICS A","004","13805","MW","8:30 AM - 9:50 AM","CKB 320","Open","34","33","Potocki-Dul, Magdallena","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13805","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","MATH107","UNIVERSITY MATHEMATICS A","006","13806","TR","4:00 PM - 5:20 PM","CKB 226","Open","34","33","Hussein, Daoud","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13806","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","MATH107","UNIVERSITY MATHEMATICS A","102","13807","W","6:00 PM - 8:50 PM","CKB 219","Closed","34","34","Bekhit, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13807","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","MATH108","UNIVERSITY MATHEMATICS B","002","13808","MWR","1:00 PM - 2:20 PM","CKB 222","Open","34","23","Gupta, Shalini","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13808","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","MATH108","UNIVERSITY MATHEMATICS B","002","13808","T","8:30 AM - 9:30 AM","CKB 226","Open","34","23","Gupta, Shalini","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13808","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","MATH108","UNIVERSITY MATHEMATICS B","004","13809","MWR","11:30 AM - 12:50 PM","CKB 215","Open","34","32","Gupta, Shalini","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13809","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","MATH108","UNIVERSITY MATHEMATICS B","004","13809","T","11:30 AM - 12:30 PM","CKB 215","Open","34","32","Gupta, Shalini","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=13809","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
