"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","MECH234","ENGINEERING MECHANICS","002","14225","M","11:30 AM - 1:25 PM","KUPF 118","Open","80","57","Milano, Geraldine","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14225","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/22/24<br />https://www.njit.edu/registrar/instructionaldelivery<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","MECH234","ENGINEERING MECHANICS","004","14226","W","11:30 AM - 1:25 PM","KUPF 117","Open","80","31","Milano, Geraldine","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14226","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/17/24<br />https://www.njit.edu/registrar/instructionaldelivery<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","MECH235","STATICS","002","14227","M","1:00 PM - 2:00 PM","COLT 416","Open","25","24","Saigal, Sunil","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14227","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/22/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH235","STATICS","002","14227","MW","10:00 AM - 11:20 AM","ECEC 100","Open","25","24","Saigal, Sunil","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14227","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/22/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH235","STATICS","004","14228","MW","10:00 AM - 11:20 AM","ECEC 100","Open","25","21","Saigal, Sunil","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14228","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/22/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH235","STATICS","004","14228","T","2:30 PM - 3:30 PM","KUPF 204","Open","25","21","Saigal, Sunil","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14228","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/22/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH236","DYNAMICS","002","14229","M","2:30 PM - 4:25 PM","GITC 1100","Open","90","70","Ding, Yuan","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14229","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/22/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH236","DYNAMICS","004","15903","W","11:30 AM - 1:25 PM","CKB 330","Open","40","37","Ding, Yuan","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15903","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: TBD<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH236","DYNAMICS","006","15907","T","2:30 PM - 4:25 PM","GITC 2302","Open","40","34","Ding, Yuan","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15907","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: TBD<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH236","DYNAMICS - HONORS","HM2","14231","M","2:30 PM - 4:25 PM","GITC 1100","Open","10","8","Ding, Yuan","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14231","Honors Course<br />Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/22/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","002","14232","M","11:30 AM - 2:20 PM","GITC 1100","Closed","24","24","Castro, Eduardo","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14232","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/22/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","002","14232","M","8:30 AM - 9:30 AM","COLT 423","Closed","24","24","Castro, Eduardo","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14232","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/22/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","004","14233","M","10:00 AM - 11:00 AM","COLT 423","Closed","24","25","Castro, Eduardo","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14233","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/22/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","004","14233","M","11:30 AM - 2:20 PM","GITC 1100","Closed","24","25","Castro, Eduardo","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14233","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/22/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","010","14236","R","10:00 AM - 12:50 PM","FMH 408","Open","24","18","Castro, Eduardo","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14236","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/18/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","010","14236","R","1:00 PM - 2:00 PM","COLT 423","Open","24","18","Castro, Eduardo","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14236","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/18/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","012","14237","R","10:00 AM - 12:50 PM","FMH 408","Open","24","15","Castro, Eduardo","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14237","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/18/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","012","14237","R","2:30 PM - 3:30 PM","COLT 423","Open","24","15","Castro, Eduardo","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14237","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/18/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","014","15905","R","10:00 AM - 12:50 PM","GITC 1400","Open","24","12","Milano, Geraldine","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15905","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: TBD<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","014","15905","R","9:00 AM - 9:50 AM","COLT 423","Open","24","12","Milano, Geraldine","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15905","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: TBD<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","016","15906","R","10:00 AM - 12:50 PM","GITC 1400","Open","24","9","Milano, Geraldine","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15906","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: TBD<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","016","15906","W","9:00 AM - 9:50 AM","COLT 423","Open","24","9","Milano, Geraldine","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15906","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: TBD<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","018","15912","F","9:00 AM - 10:00 AM","COLT 423","Open","16","4","Milano, Geraldine","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15912","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: TBD<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","018","15912","R","2:30 PM - 5:20 PM","FMH 309","Open","16","4","Milano, Geraldine","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15912","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: TBD<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","020","15915","F","10:30 AM - 11:30 AM","COLT 423","Open","16","4","Milano, Geraldine","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15915","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: TBD<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","020","15915","R","2:30 PM - 5:20 PM","FMH 309","Open","16","4","Milano, Geraldine","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15915","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: TBD<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","106","14240","R","4:00 PM - 5:00 PM","COLT 423","Open","24","13","Castro, Eduardo","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14240","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/18/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","106","14240","R","6:00 PM - 8:50 PM","KUPF 106","Open","24","13","Castro, Eduardo","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14240","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/18/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","108","14241","R","6:00 PM - 8:50 PM","KUPF 106","Open","24","13","Castro, Eduardo","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14241","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/18/24<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","MECH237","STRENGTH OF MATERIALS","108","14241","R","9:00 PM - 10:00 PM","COLT 423","Open","24","13","Castro, Eduardo","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14241","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/18/24<br />https://www.njit.edu/registrar/instructionaldelivery"
