"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","MET103","ENGRG GRAPHICS & INTRO TO CAD","002","14243","M","1:00 PM - 3:50 PM","MALL PC39","Closed","24","29","Frank, Philip","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14243",""
"202410","MET103","ENGRG GRAPHICS & INTRO TO CAD","102","14244","M","6:00 PM - 8:50 PM","MALL PC39","Closed","24","26","Orlos, Daniel","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14244",""
"202410","MET103","ENGRG GRAPHICS & INTRO TO CAD","104","14245","R","6:00 PM - 8:50 PM","MALL PC36","Closed","24","24","Rahman, Sahidur","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14245",""
"202410","MET103","ENGRG GRAPHICS & INTRO TO CAD","DBP","16080","","TBA"," ","Closed","0","17","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16080","For Don Bosco Preparatory High School Students Only"
"202410","MET103","ENGRG GRAPHICS & INTRO TO CAD","EST","16177","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16177","For Essex School of Technology Students Only"
"202410","MET103","ENGRG GRAPHICS & INTRO TO CAD","MVT","16248","","TBA"," ","Closed","0","1","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16248","For Middlesex County Vocational Technical School"
"202410","MET103","ENGRG GRAPHICS & INTRO TO CAD","OTH","16079","","TBA"," ","Closed","0","4","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16079","For Ocean Township High School Students Only"
"202410","MET103","ENGRG GRAPHICS & INTRO TO CAD","PAC","16178","","TBA"," ","Closed","0","11","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16178","For Paterson Charter School for Science & Tech Students Only"
"202410","MET105","APPLIED CAD","102","14246","M","6:00 PM - 8:50 PM","MALL PC40","Open","20","19","Shamroukh, Ramy","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14246",""
"202410","MET105","APPLIED CAD","104","14247","W","6:00 PM - 8:50 PM","MALL PC36","Open","20","19","Rodriguez, Maximiliano","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14247",""
"202410","MET105","APPLIED CAD","OTH","16081","","TBA"," ","Closed","0","3","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16081","For Ocean Township High School Students Only"
"202410","MET205","ADVANCED CAD","102","14248","M","6:00 PM - 10:05 PM","GITC 2315C","Closed","20","20","Rodriguez, Maximiliano","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14248",""
"202410","MET235","STATICS FOR TECHNOLOGY","002","14249","TF","10:00 AM - 11:20 AM"," ","Cancelled","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14249","Cancelled 1/2/24"
"202410","MET235","STATICS FOR TECHNOLOGY","102","14250","W","6:00 PM - 8:50 PM","TIER 114","Closed","20","20","Rohafza, Ali","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14250",""
"202410","MET236","DYNAMICS FOR TECHNOLOGY","102","14251","R","6:00 PM - 7:55 PM","CULM LECT 2","Closed","30","31","Botros, Mina","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14251",""
"202410","MET237","STRNGTH OF MATERIALS FOR TEC","002","14252","M","10:00 AM - 11:55 AM","COLT 423","Open","20","15","Rohafza, Ali","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14252",""
