"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","ME215","ENGR MATERLS & PROCESSES","002","14015","R","12:15 PM - 2:10 PM","ME 232","Closed","17","17","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14015","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","ME215","ENGR MATERLS & PROCESSES","002","14015","T","12:15 PM - 2:10 PM","CKB 341","Closed","17","17","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14015","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","ME215","ENGR MATERLS & PROCESSES","004","14016","R","3:15 PM - 5:10 PM","ME 232","Open","24","23","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14016","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","ME215","ENGR MATERLS & PROCESSES","004","14016","T","3:15 PM - 5:10 PM","CKB 310","Open","24","23","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14016","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","ME215","ENGR MATERLS & PROCESSES","006","14017","F","9:15 AM - 11:10 AM"," ","Cancelled","17","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14017","Cancelled 12/5/23"
"202410","ME215","ENGR MATERLS & PROCESSES","006","14017","R","10:00 AM - 11:55 AM"," ","Cancelled","17","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14017","Cancelled 12/5/23"
"202410","ME215","ENGR MATERLS & PROCESSES","008","14018","T","10:00 AM - 11:55 AM"," ","Cancelled","24","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14018","Cancelled 11/7/23"
"202410","ME215","ENGR MATERLS & PROCESSES","008","14018","W","12:15 PM - 2:10 PM"," ","Cancelled","24","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14018","Cancelled 11/7/23"
"202410","ME215","ENGR MATERLS & PROCESSES","010","16006","T","10:00 AM - 11:55 AM","CKB 341","Open","24","22","Dong, Lin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16006","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","ME215","ENGR MATERLS & PROCESSES","010","16006","W","10:00 AM - 11:55 AM","ME 232","Open","24","22","Dong, Lin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16006","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
