"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","002","14271","M","8:30 AM - 10:25 AM","KUPF 203","Closed","43","43","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14271","Students must bring their own device for this section."
"202410","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","002","14271","TR","11:30 AM - 12:50 PM","KUPF 105","Closed","43","43","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14271","Students must bring their own device for this section."
"202410","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","004","14272","TR","2:30 PM - 3:50 PM","KUPF 105","Closed","43","43","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14272","Students must bring their own device for this section."
"202410","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","004","14272","W","8:30 AM - 10:25 AM","KUPF 203","Closed","43","43","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14272","Students must bring their own device for this section."
"202410","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","102","14273","F","6:00 PM - 7:55 PM","KUPF 105","Open","43","42","Zhang, Shaoqing","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14273","Students must bring their own device for this section."
"202410","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","102","14273","T","6:00 PM - 8:50 PM","KUPF 203","Open","43","42","Zhang, Shaoqing","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14273","Students must bring their own device for this section."
"202410","MGMT190","INTRODUCTION TO BUSINESS","002","14274","TR","10:00 AM - 11:20 AM","KUPF 203","Closed","43","43","Salmeron, Maria","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14274",""
"202410","MGMT190","INTRODUCTION TO BUSINESS","CHS","16216","","","","Closed","0","7","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16216","For Woodbridge Township School District Students Only"
"202410","MGMT190","INTRODUCTION TO BUSINESS","HS1","15380","S","9:00 AM - 11:50 AM","CKB 126","Open","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15380","For High School Students Only"
"202410","MGMT190","INTRODUCTION TO BUSINESS","MSE","16073","","","","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16073","For The Academy for Math Science & Engineering Students Only"
