"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","MIS245","INTRO TO MNGMNT INFO SYST","002","14323","TR","11:30 AM - 12:50 PM","FMH 308","Closed","43","43","Kudyba, Stephan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14323","Students must bring their own device for this section."
"202410","MIS245","INTRO TO MNGMNT INFO SYST","004","14324","TR","2:30 PM - 3:50 PM","KUPF 203","Closed","43","43","Kudyba, Stephan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14324","Students must bring their own device for this section."
"202410","MIS245","INTRO TO MNGMNT INFO SYST","452","14325","","TBA"," ","Closed","43","43","Lovitch, Ira","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14325","Online Course"
"202410","MIS245","INTRO TO MNGMNT INFO SYST","454","14326","","TBA"," ","Closed","43","43","Lovitch, Ira","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14326","Online Course"
"202410","MIS245","INTRO TO MNGMNT INFO SYST","456","16091","","TBA"," ","Closed","30","30","Lovitch, Ira","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16091","Online Course"
"202410","MIS363","PROJCT MNGMNT FOR MANAGERS","002","14327","TR","4:00 PM - 5:20 PM","KUPF 203","Open","43","40","Haies, Frances","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14327","Students must bring a laptop with a Windows Operating System<br />for this section."
"202410","MIS363","PROJCT MNGMNT FOR MANAGERS","102","14328","W","6:00 PM - 8:50 PM","CAB 3052","Open","43","23","Moodey, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14328","Students must bring a laptop with a Windows Operating System<br />for this section."
"202410","MIS363","PROJCT MNGMNT FOR MANAGERS","452","15364","","TBA"," ","Open","30","7","Chen, Yi","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15364","Restricted to Online Accelerated Degree Completion Only<br />Class meets first half of the semester (1/16/24 - 3/4/24).<br />Students need a computer with Windows operating system."
"202410","MIS385","DATABASE SYSTEMS FOR MANAGERS","002","14329","MR","11:30 AM - 12:50 PM","TIER LECT 2","Closed","43","43","Tripathy, Manish","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14329","Students must bring their own device for this section."
"202410","MIS385","DATABASE SYSTEMS FOR MANAGERS","452","14330","","TBA"," ","Closed","30","31","Tripathy, Manish","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14330","Online Course"
