"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","MNET215","MATS. AND PROCESSES FOR TECH.","102","14346","R","6:00 PM - 7:55 PM","GITC 2311","Closed","20","20","Orlos, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14346",""
"202410","MNET215","MATS. AND PROCESSES FOR TECH.","102","14346","R","8:05 PM - 10:00 PM","GITC 2311","Closed","20","20","Orlos, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14346",""
"202410","MNET303","ADV TECH IN CAD/CAM","102","14347","M","6:00 PM - 10:05 PM","GITC 2311","Closed","20","20","Dyer, ShaQueel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14347",""
"202410","MNET315","INDUSTRIAL STATISTICS","002","14348","TR","8:30 AM - 10:35 AM","CKB 217","Closed","30","31","Chaudhuri, Ajit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14348",""
"202410","MNET315","INDUSTRIAL STATISTICS","102","14349","F","6:00 PM - 10:05 PM","TIER 114","Closed","30","31","May, Edwin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14349",""
"202410","MNET318","MNFG PROCESS DESIGN","102","14350","W","6:00 PM - 10:05 PM","GITC 2311","Open","20","11","Makris, Georghios","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14350",""
"202410","MNET395","COOP EXPERIENCE I","349","14351","","TBA"," ","Open","19","0","Lieber, Samuel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14351","See department for permission to enroll."
"202410","MNET405","NUMC CONTROL MACHN TOOLS","002","14352","TR","8:30 AM - 10:35 AM"," ","Cancelled","15","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14352","Cancelled 10/24/23"
"202410","MNET414","INDUSTRIAL COST ANALYSIS","002","14353","TR","2:30 PM - 3:50 PM","FMH 305","Closed","25","25","Chaudhuri, Ajit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14353",""
"202410","MNET414","INDUSTRIAL COST ANALYSIS","102","14354","W","6:00 PM - 8:50 PM","TIER LECT 2","Closed","25","25","Zeiner, Christopher","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14354",""
"202410","MNET414","INDUSTRIAL COST ANALYSIS","104","14355","R","6:00 PM - 8:50 PM","TIER LECT 1","Closed","25","25","Zeiner, Christopher","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14355",""
"202410","MNET414","INDUSTRIAL COST ANALYSIS","106","14356","F","6:00 PM - 8:50 PM","CKB 220","Closed","25","25","Dyer, ShaQueel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14356",""
"202410","MNET416","PRODUCTION SCHEDULING","102","14357","F","6:00 PM - 8:50 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14357","Cancelled 1/2/24"
"202410","MNET420","QUALITY SYSTEMS","102","14358","R","6:00 PM - 10:05 PM","TIER 107","Open","30","20","May, Edwin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14358",""
"202410","MNET422","TOOL DESIGN","102","14359","T","6:00 PM - 10:05 PM"," ","Cancelled","15","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14359","Cancelled 10/24/23"
"202410","MNET423","WORKPLACE DESIGN & MEASUREMENT","002","15932","MR","2:30 PM - 4:35 PM","GITC 2311","Open","20","13","Lieber, Samuel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15932",""
"202410","MNET425","ADV MANUFACTURING ROTATION","002","14360","TF","1:45 PM - 3:50 PM"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14360","Cancelled 01/09/24"
"202410","MNET426","MANUFACTURING PROJECT","002","14361","TF","8:30 AM - 10:35 AM"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14361","Cancelled 01/09/24"
"202410","MNET491","SPECIAL PROJECTS","349","16036","","TBA"," ","Open","19","1","Lieber, Samuel","","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16036","See department for permission to enroll."
"202410","MNET492","SPECIAL PROJECTS","349","16037","","TBA"," ","Open","19","0","Lieber, Samuel","","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16037","See department for permission to enroll."
"202410","MNET493","SPECIAL PROJECTS","349","16038","","TBA"," ","Open","19","0","Lieber, Samuel","","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16038",""
"202410","MNET495","COOPERATIVE EXPERIEN II","349","14362","","TBA"," ","Open","19","0","Lieber, Samuel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14362","See department for permission to enroll."
