"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","MRKT330","PRINCIPLES OF MARKETING","002","14370","TR","4:00 PM - 5:20 PM","FMH 408","Closed","33","33","Thomas, Ellen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14370",""
"202410","MRKT330","PRINCIPLES OF MARKETING","102","14371","R","6:00 PM - 8:50 PM","FMH 308","Open","43","40","Aziz, Summaya","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14371",""
"202410","MRKT330","PRINCIPLES OF MARKETING","452","14372","","TBA"," ","Closed","30","30","Mehta, Rajiv","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14372","Online Course"
"202410","MRKT330","PRINCIPLES OF MARKETING","454","14373","","TBA"," ","Closed","30","30","Mehta, Rajiv","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14373","Online Course"
"202410","MRKT330","PRINCIPLES OF MARKETING","456","14374","","TBA"," ","Closed","30","30","Olotewo, Akpesiri","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14374","Online Course"
"202410","MRKT330","PRINCIPLES OF MARKETING - HONORS","HM2","14375","TR","4:00 PM - 5:20 PM","FMH 408","Open","10","6","Thomas, Ellen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14375","Honors Course"
"202410","MRKT338","NEW PRODUCT DESIGN & DEVELOP","102","14376","M","6:00 PM - 8:50 PM","WEST LECT 2","Open","43","36","Elowitz, Ronald","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14376",""
"202410","MRKT339","SELLING","102","14377","T","6:00 PM - 8:50 PM","FMH 308","Open","43","28","Roman, Joseph","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14377",""
"202410","MRKT430","MARKETING RESEARCH","102","14378","R","7:30 PM - 8:50 PM"," ","Cancelled","43","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14378","Cancelled 01/05/24"
"202410","MRKT430","MARKETING RESEARCH","102","14378","T","7:30 PM - 8:50 PM"," ","Cancelled","43","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14378","Cancelled 01/05/24"
