"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","MTEN101","INTRO TO MATERIALS ENG","002","14392","M","1:00 PM - 2:00 PM","CKB 223","Open","30","6","Guvendiren, Murat","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14392",""
"202410","MTEN201","INTRO PRINC OF MATERIAL ENGR","002","14393","MW","10:00 AM - 11:20 AM","KUPF 207","Open","45","42","Zhao, Mengqiang","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14393",""
"202410","MTEN202","MTEN LAB I","002","14394","F","8:30 AM - 10:25 AM"," ","Cancelled","30","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14394","Cancelled 10/19/23"
"202410","MTEN205","MECH BEHAVIOR OF MATERIALS","002","14395","MW","10:00 AM - 11:20 AM","FMH 411","Open","30","4","Molodetsky, Irina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14395",""
"202410","MTEN206","MTEN LAB II","002","14396","W","11:30 AM - 1:25 PM","TIER 007A","Open","30","4","Molodetsky, Irina","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14396",""
"202410","MTEN491","RESEARCH & INDEPENDENT STUDY I","071","14397","","TBA"," ","Open","19","0","Sirkar, Kamalesh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14397","See department for permission to enroll."
"202410","MTEN491","RESEARCH & INDEPENDENT STUDY I","080","14398","","TBA"," ","Open","19","0","Armenante, Piero","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14398","See department for permission to enroll."
"202410","MTEN491","RESEARCH & INDEPENDENT STUDY I","081","14399","","TBA"," ","Open","19","0","Baltzis, Basil","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14399","See department for permission to enroll."
"202410","MTEN491","RESEARCH & INDEPENDENT STUDY I","082","14400","","TBA"," ","Open","19","0","Chintersingh, Kerri Lee","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14400","See department for permission to enroll."
"202410","MTEN491","RESEARCH & INDEPENDENT STUDY I","083","14401","","TBA"," ","Open","19","0","Cimino, Richard","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14401","See department for permission to enroll."
