"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","MTSE451","X-RAY DIFFRACTION","102","14649","T","6:00 PM - 10:05 PM"," ","Cancelled","15","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14649","Cancelled 01/05/24"
"202410","MTSE590","GRAD COOP WORK EXP I","792","14650","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14650","See department for permission to enroll."
"202410","MTSE590","GRAD COOP WORK EXP I","808","14651","","TBA"," ","Open","19","0","Tyson, Trevor","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14651","See department for permission to enroll."
"202410","MTSE591","GRAD COOP WORK EXPERIENCE II","792","14652","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14652","See department for permission to enroll."
"202410","MTSE591","GRAD COOP WORK EXPERIENCE II","808","14653","","TBA"," ","Open","19","0","Tyson, Trevor","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14653","See department for permission to enroll."
"202410","MTSE593","GRADUATE CO-OP WORK EXP IV","792","14654","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14654","See department for permission to enroll."
"202410","MTSE655","DIFFUS & SOLID STATE KIN","102","14655","M","6:00 PM - 8:50 PM","FMH 403","Open","25","11","Jerez, Andres","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14655",""
"202410","MTSE690","DIRECTED STUDY IN MTSE","792","14656","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14656","See department for permission to enroll."
"202410","MTSE700B","MASTER'S PROJECT","445","14657","","TBA"," ","Open","19","0","Dave, Rajesh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14657","See department for permission to enroll."
"202410","MTSE700B","MASTER'S PROJECT","792","14658","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14658","See department for permission to enroll."
"202410","MTSE700B","MASTER'S PROJECT","796","14659","","TBA"," ","Open","19","0","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14659","See department for permission to enroll."
"202410","MTSE700B","MASTER'S PROJECT","804","14660","","TBA"," ","Open","19","0","Federici, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14660","See department for permission to enroll."
"202410","MTSE700B","MASTER'S PROJECT","808","14661","","TBA"," ","Open","19","0","Tyson, Trevor","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14661","See department for permission to enroll."
"202410","MTSE700B","MASTER'S PROJECT","828","14662","","TBA"," ","Cancelled","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14662","Cancelled 12/18/23"
