"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","PE115","STRNGTH TRNING & CONDING","002","15365","TR","11:30 AM - 12:50 PM","DHRH FIT","Closed","20","20","Ruela, Ariana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15365","Class meets first half of the semester."
"202410","PE115","STRNGTH TRNING & CONDING","004","15366","F","8:30 AM - 9:50 AM","DHRH FIT","Closed","20","20","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15366",""
"202410","PE115","STRNGTH TRNING & CONDING","006","15367","TR","8:30 AM - 9:50 AM","DHRH FIT","Open","20","19","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15367","Class meets first half of the semester."
"202410","PE117","JOGGING","002","15384","TR","1:00 PM - 2:20 PM","WEC TRACK","Closed","20","20","Lange, Payce","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15384","Class meets last half of the semester."
"202410","PE118","WALKING","002","15368","TR","1:00 PM - 2:20 PM","WEC TRACK","Closed","20","20","Lange, Payce","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15368","Class meets first half of the semester."
"202410","PE129","INDIVIDUALIZED FITNESS","002","15369","M","4:30 PM - 5:50 PM","DHRH FIT","Closed","20","20","Nieves, Charlie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15369","Class meets first half of the semester."
"202410","PE129","INDIVIDUALIZED FITNESS","004","15370","MW","10:00 AM - 11:20 AM","DHRH FIT","Open","20","16","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15370","Class meets first half of the semester."
"202410","PE129","INDIVIDUALIZED FITNESS","006","15371","TR","10:00 AM - 11:20 AM","WEC FITCENTR","Open","20","16","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15371","Class meets first half of the semester."
"202410","PE129","INDIVIDUALIZED FITNESS","008","15372","TR","1:00 PM - 2:20 PM","WEC FITCENTR","Open","20","13","Reilly, Daniel","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15372","Class meets first half of the semester."
"202410","PE129","INDIVIDUALIZED FITNESS","010","15373","TR","2:30 PM - 3:50 PM","WEC FITCENTR","Open","20","14","Uy, Matthew","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15373","Class meets first half of the semester."
"202410","PE129","INDIVIDUALIZED FITNESS","102","15374","M","6:00 PM - 7:20 PM","WEC FITCENTR","Closed","20","20","Nieves, Charlie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15374","Class meets first half of the semester."
"202410","PE129","INDIVIDUALIZED FITNESS","104","15375","W","6:00 PM - 7:20 PM","WEC FITCENTR","Open","20","19","Nieves, Charlie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15375","Class meets first half of the semester."
"202410","PE133","SWIM FOR HEALTH","002","14712","T","10:00 AM - 11:20 AM","WEC POOL","Open","12","9","Farina, Ronald","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14712",""
"202410","PE133","SWIM FOR HEALTH","004","14713","T","11:30 AM - 12:50 PM","WEC POOL","Open","12","11","Farina, Ronald","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14713",""
"202410","PE135","BEGINNING SWIMMING","002","14714","R","11:30 AM - 12:50 PM","WEC POOL","Open","8","7","Farina, Ronald","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14714",""
"202410","PE135","BEGINNING SWIMMING","004","14715","R","10:00 AM - 11:20 AM","WEC POOL","Closed","8","8","Farina, Ronald","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14715",""
"202410","PE136","INTRO TO KARATE","002","14716","T","7:00 PM - 8:20 PM","WEC GRPEXER","Open","15","13","Kim, Charles","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14716",""
"202410","PE137","INTERMEDIATE KARATE","102","14717","R","7:00 PM - 8:20 PM","WEC GRPEXER","Open","20","6","Kim, Charles","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14717",""
"202410","PE139","INDIVIDUALIZED FITNESS II","002","14718","","TBA"," ","Closed","0","0","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14718","Department Permission Required"
"202410","PE139","INDIVIDUALIZED FITNESS II","004","15385","MW","10:00 AM - 11:20 AM","DHRH FIT","Open","20","10","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15385","Class meets last half of the semester."
"202410","PE139","INDIVIDUALIZED FITNESS II","006","15386","TR","10:00 AM - 11:20 AM","DHRH FIT","Open","20","7","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15386","Class meets last half of the semester."
"202410","PE139","INDIVIDUALIZED FITNESS II","008","15387","TR","1:00 PM - 2:20 PM","WEC FITCENTR","Open","20","1","Reilly, Daniel","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15387","Class meets last half of the semester."
"202410","PE139","INDIVIDUALIZED FITNESS II","010","15388","TR","2:30 PM - 3:50 PM","WEC FITCENTR","Open","20","5","Uy, Matthew","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15388","Class meets last half of the semester."
"202410","PE140","CIRCUIT TRAINING","002","14719","F","10:00 AM - 11:20 AM","DHRH FIT","Closed","20","20","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14719",""
"202410","PE140","CIRCUIT TRAINING","004","14720","W","11:30 AM - 2:20 PM","DHRH FIT","Open","20","6","Lott, Jacqueline","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14720",""
"202410","PE140","CIRCUIT TRAINING","006","15389","TR","11:30 AM - 12:50 PM","DHRH FIT","Open","20","6","Ruela, Ariana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15389","Class meets last half of the semester."
"202410","PE140","CIRCUIT TRAINING","008","15390","TR","8:30 AM - 9:50 AM","DHRH FIT","Open","20","1","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15390","Class meets last half of the semester."
"202410","PE141","INTRODUCTION TO DANCE","002","14721","T","1:00 PM - 2:20 PM","WEC GRPEXER","Open","25","14","Pagan, Roberto","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14721","Ballroom Dancing"
"202410","PE145","AIR FORCE PHYSICAL TRAINING I","002","14722","T","7:00 AM - 8:00 AM","WEC TRACK","Closed","50","50","Carter, James","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14722",""
"202410","PE150","BEGINNING YOGA","002","14723","F","10:00 AM - 11:20 AM","WEC GRPEXER","Closed","20","20","Rosen, Susan","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14723",""
"202410","PE150","BEGINNING YOGA","004","14724","T","10:00 AM - 11:20 AM","WEC GRPEXER","Closed","15","17","Rosen, Susan","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14724","Pilates Based"
"202410","PE150","BEGINNING YOGA","006","14725","R","10:00 AM - 11:20 AM","WEC GRPEXER","Open","15","14","Rosen, Susan","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14725","Pilates Based"
"202410","PE150","BEGINNING YOGA","102","14726","W","6:00 PM - 7:20 PM","WEC GRPEXER","Closed","20","20","Dodson, Crystal","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14726",""
"202410","PE150","BEGINNING YOGA","104","14727","M","7:00 PM - 8:20 PM","WEC GRPEXER","Open","20","19","Dodson, Crystal","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14727",""
"202410","PE150","BEGINNING YOGA","106","14728","W","7:30 PM - 8:50 PM","WEC GRPEXER","Open","15","14","Dodson, Crystal","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14728",""
"202410","PE171","LATIN DANCE","002","14729","T","1:00 PM - 2:20 PM","WEC GRPEXER","Open","20","13","Pagan, Roberto","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14729",""
"202410","PE180","ZUMBA FITNESS","002","14730","M","1:00 PM - 2:20 PM"," ","Cancelled","20","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14730","Cancelled 01/15/24"
"202410","PE180","ZUMBA FITNESS","004","14731","M","4:30 PM - 5:50 PM","WEC GRPEXER","Open","20","16","Smith, Carole","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14731",""
"202410","PE211","INTRO BOWLING & ARCHERY","102","14732","R","7:00 PM - 8:20 PM","CTR BOWL","Closed","20","20","Creutz, Casey","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14732",""
"202410","PE242","INTRODUCTION TO RACQUETBALL","002","14733","W","1:00 PM - 2:25 PM","WEC RACQ","Closed","10","10","Greely, Matthew","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14733",""
