"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","PHEN590","GRADUATE CO-OP WORK EXPER I","084","14752","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14752","See department for permission to enroll."
"202410","PHEN591","GRADUATE CO-OP WORK EXPER II","084","14753","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14753","See department for permission to enroll."
"202410","PHEN592","GRADUATE CO-OP WORK EXPER III","084","14754","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14754","See department for permission to enroll."
"202410","PHEN593","GRADUATE CO-OP WORK EXP IV","084","14755","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14755","See department for permission to enroll."
"202410","PHEN604","VALIDATION& PHARM INDSTRY","852","14756","","TBA"," ","Open","30","23","Melamud, Paul","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14756","Restricted to Newark Campus Students Only<br />Online Course"
"202410","PHEN605","PHARMACEUTICAL PACKGING TECH","852","14757","","TBA"," ","Open","30","9","Orosz, Stephen","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14757","Restricted to Newark Campus Students Only<br />Online Course"
"202410","PHEN618","PRINC PHARMACOKINETICS &DRUG","102","14758","M","6:00 PM - 8:50 PM","FMH 205","Open","30","12","Armenante, Piero","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14758",""
"202410","PHEN700B","MASTER'S PROJECT","080","16282","","TBA"," ","Open","19","1","Armenante, Piero","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16282","See department for permission to enroll"
"202410","PHEN701B","MASTER'S THESIS","061","14759","","TBA"," ","Open","19","0","Kumar, Vivek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14759","See department for permission to enroll."
"202410","PHEN701B","MASTER'S THESIS","080","14760","","TBA"," ","Open","19","1","Armenante, Piero","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14760","See department for permission to enroll."
"202410","PHEN701B","MASTER'S THESIS","088","14761","","TBA"," ","Open","19","0","Basuray, Sagnik","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14761","See department for permission to enroll."
"202410","PHEN701B","MASTER'S THESIS","090","14762","","TBA"," ","Open","19","0","Bilgili, Ecevit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14762","See department for permission to enroll."
"202410","PHEN701B","MASTER'S THESIS","091","14763","","TBA"," ","Open","19","0","Xu, Xiaoyang","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14763","See department for permission to enroll."
"202410","PHEN701B","MASTER'S THESIS","093","14764","","TBA"," ","Open","19","0","McEnnis, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14764","See department for permission to enroll."
"202410","PHEN701B","MASTER'S THESIS","111","14765","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14765","See department for permission to enroll."
"202410","PHEN701B","MASTER'S THESIS","116","14766","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14766","See department for permission to enroll."
"202410","PHEN701B","MASTER'S THESIS","119","14767","","TBA"," ","Open","19","0","Wang, Xianqin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14767","See department for permission to enroll."
"202410","PHEN701B","MASTER'S THESIS","145","14768","","TBA"," ","Open","19","0","Venerus, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14768","See department for permission to enroll."
"202410","PHEN701B","MASTER'S THESIS","212","14769","","TBA"," ","Open","19","0","Voronov, Roman","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14769","See department for permission to enroll."
"202410","PHEN701B","MASTER'S THESIS","217","14770","","TBA"," ","Open","19","0","Guvendiren, Murat","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14770","See department for permission to enroll."
"202410","PHEN701B","MASTER'S THESIS","445","14771","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14771","See department for permission to enroll."
"202410","PHEN701B","MASTER'S THESIS","486","14772","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14772","See department for permission to enroll."
"202410","PHEN701B","MASTER'S THESIS","487","14773","","TBA"," ","Open","19","0","Dave, Rajesh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14773","See department for permission to enroll."
"202410","PHEN701C","MASTER'S THESIS","080","14774","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14774","See department for permission to enroll."
"202410","PHEN701C","MASTER'S THESIS","090","14775","","TBA"," ","Open","19","0","Bilgili, Ecevit","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14775","See department for permission to enroll."
"202410","PHEN701C","MASTER'S THESIS","111","14776","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14776","See department for permission to enroll."
"202410","PHEN701C","MASTER'S THESIS","116","14777","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14777","See department for permission to enroll."
"202410","PHEN701C","MASTER'S THESIS","445","14778","","TBA"," ","Open","19","0","Dave, Rajesh","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14778","See department for permission to enroll."
"202410","PHEN701C","MASTER'S THESIS","486","14779","","TBA"," ","Open","19","0","Khusid, Boris","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14779","See department for permission to enroll."
"202410","PHEN701C","MASTER'S THESIS","487","14780","","TBA"," ","Open","19","0","Dreyzin, Edward","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14780","See department for permission to enroll."
"202410","PHEN725","INDEPENDENT STUDY","061","14781","","TBA"," ","Open","19","0","Kumar, Vivek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14781","See department for permission to enroll."
"202410","PHEN725","INDEPENDENT STUDY","080","14782","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14782","See department for permission to enroll."
