"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","PHIL334","ENGINEERING ETHICS","002","14799","TR","10:00 AM - 11:20 AM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14799","Cancelled 10/23/23"
"202410","PHIL334","ENGINEERING ETHICS","004","14800","TR","4:00 PM - 5:20 PM","FMH 403","Closed","30","30","Estrada, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14800",""
"202410","PHIL334","ENGINEERING ETHICS","006","14801","MW","1:00 PM - 2:20 PM","FMH 319","Open","30","29","Estrada, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14801",""
"202410","PHIL334","ENGINEERING ETHICS","008","14802","MR","2:30 PM - 3:50 PM","FMH 321","Closed","30","30","Edel, Gareth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14802",""
"202410","PHIL334","ENGINEERING ETHICS","010","15866","TR","11:30 AM - 12:50 PM","FMH 108","Closed","30","30","Holbrook, James","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15866",""
"202410","PHIL334","ENGINEERING ETHICS","102","14803","T","6:00 PM - 8:50 PM","FMH 319","Closed","30","30","Heap, Peter","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14803",""
"202410","PHIL334","ENGINEERING ETHICS","452","14804","","TBA"," ","Closed","30","30","Estrada, Daniel","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14804","Online Course"
"202410","PHIL334","ENGINEERING ETHICS","454","14805","","TBA"," ","Closed","30","30","George, Amber","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14805","Online Course"
"202410","PHIL334","ENGINEERING ETHICS","456","14806","","TBA"," ","Closed","30","30","George, Amber","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14806","Online Course"
"202410","PHIL334","ENGINEERING ETHICS","458","14807","","TBA"," ","Closed","30","30","George, Amber","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14807","Online Course"
"202410","PHIL334","ENGINEERING ETHICS","460","14808","","TBA"," ","Closed","30","30","George, Amber","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14808","Online Course"
"202410","PHIL334","ENGINEERING ETHICS - HONORS","H02","14809","TR","10:00 AM - 11:20 AM","KUPF 205","Open","30","19","Holbrook, James","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14809","Honors Course"
"202410","PHIL334","ENGINEERING ETHICS - HONORS","H04","14810","TR","10:00 AM - 11:20 AM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14810","Cancelled 11/13/23"
"202410","PHIL337","WORLD RELIGIONS","002","14811","TR","1:00 PM - 2:20 PM","CULM 110","Closed","30","31","Brooks, Charles","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14811",""
"202410","PHIL351","BIOMEDICAL ETHICS","452","14812","","TBA"," ","Closed","30","30","Deek, Andrew","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14812","Online Course"
"202410","PHIL351","BIOMEDICAL ETHICS","454","14813","","TBA"," ","Closed","30","30","Deek, Andrew","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14813","Online Course"
"202410","PHIL351","BIOMEDICAL ETHICS","456","14814","","TBA"," ","Closed","30","30","Deek, Andrew","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14814","Online Course"
