"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","PHYS102","GENERAL PHYSICS I","002","14815","F","10:00 AM - 11:20 AM","KUPF 210","Open","43","42","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14815","Students must also register for LAB.<br />Withdrawal from LEC requires withdrawal from LAB.<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","PHYS102","GENERAL PHYSICS I","002","14815","W","11:30 AM - 12:50 PM","KUPF 105","Open","43","42","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14815","Students must also register for LAB.<br />Withdrawal from LEC requires withdrawal from LAB.<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","PHYS102","GENERAL PHYSICS I","004","14816","F","10:00 AM - 11:20 AM","KUPF 210","Open","43","39","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14816","Students must also register for LAB.<br />Withdrawal from LEC requires withdrawal from LAB.<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","PHYS102","GENERAL PHYSICS I","004","14816","W","1:00 PM - 2:20 PM","KUPF 105","Open","43","39","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14816","Students must also register for LAB.<br />Withdrawal from LEC requires withdrawal from LAB.<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","PHYS102","GENERAL PHYSICS I","006","14817","F","8:30 AM - 9:50 AM","KUPF 210","Closed","43","43","Kane, Steven","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14817","Students must also register for LAB.<br />Withdrawal from LEC requires withdrawal from LAB.<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","PHYS102","GENERAL PHYSICS I","006","14817","W","1:00 PM - 2:20 PM","KUPF 207","Closed","43","43","Kane, Steven","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14817","Students must also register for LAB.<br />Withdrawal from LEC requires withdrawal from LAB.<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","PHYS102","GENERAL PHYSICS I","008","14818","F","8:30 AM - 9:50 AM","KUPF 210","Closed","43","45","Kane, Steven","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14818","Students must also register for LAB.<br />Withdrawal from LEC requires withdrawal from LAB.<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","PHYS102","GENERAL PHYSICS I","008","14818","M","11:30 AM - 12:50 PM","KUPF 105","Closed","43","45","Kane, Steven","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14818","Students must also register for LAB.<br />Withdrawal from LEC requires withdrawal from LAB.<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","PHYS102","GENERAL PHYSICS I","102","14819","R","6:00 PM - 8:50 PM","KUPF 202","Closed","43","44","Ravindra, N.","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14819","Students must also register for LAB.<br />Withdrawal from LEC requires withdrawal from LAB.<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202410","PHYS102","GENERAL PHYSICS I","PSE","16249","","TBA"," ","Closed","0","25","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16249","For Passaic Academy for Science & Engineering Students Only"
"202410","PHYS102A","GENERAL PHYSICS I LAB","002","14820","R","9:15 AM - 11:10 AM","TIER 409","Closed","32","32","Yazdi Karimi, Homa","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14820","Students must also register for LECTURE.<br />Withdrawal from LAB requires withdrawal from LEC."
"202410","PHYS102A","GENERAL PHYSICS I LAB","004","14821","T","12:15 PM - 2:10 PM","TIER 409","Closed","32","32","Lalu, Catherin Neena","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14821","Students must also register for LECTURE.<br />Withdrawal from LAB requires withdrawal from LEC."
"202410","PHYS102A","GENERAL PHYSICS I LAB","006","14822","T","10:00 AM - 11:55 AM","TIER 409","Open","32","31","Lalu, Catherin Neena","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=14822","Students must also register for LECTURE.<br />Withdrawal from LAB requires withdrawal from LEC."
