"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","PSY210","INTRODUCTION TO PSYCHOLOGY","002","15131","TR","10:00 AM - 11:20 AM","TIER 112","Open","40","39","Fenton, Katherine","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15131",""
"202410","PSY210","INTRODUCTION TO PSYCHOLOGY","004","15132","MR","8:30 AM - 9:50 AM","TIER 107","Closed","40","40","Levine, Derek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15132",""
"202410","PSY210","INTRODUCTION TO PSYCHOLOGY","006","15133","MR","1:00 PM - 2:20 PM","CKB 317","Closed","40","40","Wolf, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15133",""
"202410","PSY210","INTRODUCTION TO PSYCHOLOGY","008","15134","F","8:30 AM - 11:20 AM","TIER 106","Closed","40","40","Venchkoski, Jessyka","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15134",""
"202410","PSY210","INTRODUCTION TO PSYCHOLOGY","010","15135","MW","10:00 AM - 11:20 AM","TIER 106","Closed","40","40","Hyland Bruno, Julia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15135",""
"202410","PSY210","INTRODUCTION TO PSYCHOLOGY","012","15136","TR","8:30 AM - 9:50 AM","CKB 212","Closed","30","30","Fenton, Katherine","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15136",""
"202410","PSY210","INTRODUCTION TO PSYCHOLOGY","102","15137","T","6:00 PM - 8:50 PM","CKB 212","Closed","30","30","Venchkoski, Jessyka","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15137",""
"202410","PSY210","INTRODUCTION TO PSYCHOLOGY","106","15138","S","9:00 AM - 11:50 AM","CKB 212","Closed","30","30","Anjum, Aruba","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15138",""
"202410","PSY210","INTRODUCTION TO PSYCHOLOGY","108","15139","S","1:00 PM - 3:50 PM","CKB 212","Closed","30","30","Anjum, Aruba","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15139",""
"202410","PSY215","BIOLOGY OF BEHAVIOR","002","15140","MW","11:30 AM - 12:50 PM","CKB 212","Closed","30","30","Hyland Bruno, Julia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15140",""
