"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","SET200","INTRODUCTION TO GEOMATICS","102","15148","M","6:00 PM - 8:50 PM","FMH 305","Open","30","9","Todosov, Angel","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15148","Hybrid Course<br />See syllabus for meetings held remotely.<br />https://www.njit.edu/registrar/instructionaldelivery"
"202410","SET200A","INTRODUCTION TO GEOMATICS LAB","102","15149","S","9:00 AM - 2:50 PM","GITC 2315C","Open","28","8","Todosov, Angel","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15149","Hybrid Course<br />Meetings held alternate weeks starting 1/27/24"
"202410","SET203","INTRO TO REMOTE SENSING SCI &","452","15150","","TBA"," ","Cancelled","28","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15150","Cancelled 01/10/24"
"202410","SET280","MARINE SURVEYING","102","15867","S","9:00 AM - 2:20 PM","MALL PC36","Closed","20","21","Potts, Laramie","Hybrid","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15867","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: TBD<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202410","SET360","DIGITAL SURVEYING METHODS","102","15151","T","6:00 PM - 8:50 PM","GITC 2315C","Open","28","8","Todosov, Angel","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15151","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: TBD<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202410","SET401","FUNDAMENTALS OF GEODESY","452","15152","","TBA"," ","Open","28","20","Potts, Laramie","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15152","Online Course"
"202410","SET433","REMOTE SENSING DIGITAL IMAGE","102","15153","T","6:00 PM - 8:50 PM","MALL PC39","Open","28","8","Jin, Huiran","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15153",""
"202410","SET490","SENIOR PROJECT IN SURVEYING","102","15154","W","6:00 PM - 7:55 PM","TIER LECT 1","Open","20","7","Jin, Huiran","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15154",""
"202410","SET491","SPECIAL PROJECTS IN SURVEYING","359","15155","","TBA"," ","Open","19","0","Potts, Laramie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15155","See department for permission to enroll."
"202410","SET492","SPECIAL PROJECTS IN SURVEYING","359","15156","","TBA"," ","Open","19","0","Potts, Laramie","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15156","See department for permission to enroll."
"202410","SET493","SPECIAL PROJECTS IN SURVEYING","359","15157","","TBA"," ","Open","19","0","Potts, Laramie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15157","See department for permission to enroll."
