"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","STS201","UND TECH SOC: INTRO STS","002","15158","TR","10:00 AM - 11:20 AM","TIER 106","Open","40","39","Pullum, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15158",""
"202410","STS201","UND TECH SOC: INTRO STS","004","15159","MR","8:30 AM - 9:50 AM","TIER 106","Open","40","26","Pullum, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15159",""
"202410","STS201","UND TECH SOC: INTRO STS","006","15160","TR","10:00 AM - 11:20 AM","TIER 107","Closed","40","40","Bozicevic, Miran","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15160",""
"202410","STS201","UND TECH SOC: INTRO STS","008","15161","MR","1:00 PM - 2:20 PM","TIER 112","Open","40","32","Pullum, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15161",""
"202410","STS201","UND TECH SOC: INTRO STS","102","15162","W","6:00 PM - 8:50 PM","CKB 317","Closed","40","40","de la Torre, Pedro","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15162",""
"202410","STS205","INTRO TO RESEARCH METHODS","002","15163","MW","8:30 AM - 9:50 AM","CKB 310","Open","25","23","Collins, Regina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15163",""
"202410","STS205","INTRO TO RESEARCH METHODS - HONORS","H02","15164","TR","8:30 AM - 9:50 AM","CKB 341","Closed","20","20","Hunt, Theresa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15164","Honors Course"
"202410","STS221","INTRODUCTION TO SOCIOLOGY","002","15165","TF","1:00 PM - 2:20 PM","CKB 330","Open","40","38","Reibstein, Sarah","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15165",""
"202410","STS221","INTRODUCTION TO SOCIOLOGY","004","15166","TR","10:00 AM - 11:20 AM","TIER 108","Closed","40","40","Edel, Gareth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15166",""
"202410","STS221","INTRODUCTION TO SOCIOLOGY","006","15167","MW","10:00 AM - 11:20 AM","FMH 110","Closed","40","40","Edel, Gareth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15167",""
