"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","THTR101","LIVING THEATRE","002","15900","TR","2:30 PM - 3:50 PM","KUPF 110","Open","15","10","Edwards, Emily","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15900",""
"202410","THTR212","FROM PAGE TO STAGE","002","15197","TR","10:00 AM - 11:20 AM","KUPF 110","Closed","15","17","Self, Courtney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15197",""
"202410","THTR217","IMPROVISATIONAL THTR-LONG FORM","002","15198","TR","1:00 PM - 2:20 PM","KUPF 110","Closed","10","15","Kornfeld, Louis","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15198",""
"202410","THTR220","JAZZ ENSEMBLE","102","15201","T","6:00 PM - 8:50 PM","CKB 116","Closed","0","3","Rimelis, David","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15201",""
"202410","THTR220","STRING ENSEMBLE","004","15200","R","3:00 PM - 5:50 PM","CKB 116","Closed","0","2","Sweet, Christine","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15200",""
"202410","THTR220","WIND ENSEMBLE","002","15199","W","3:00 PM - 5:50 PM","CKB 116","Closed","0","7","Santoro, Nicholas","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15199",""
"202410","THTR315","THEATRE HISTORY II","002","15202","MW","10:00 AM - 11:20 AM","KUPF 110","Closed","15","15","Edwards, Emily","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15202",""
"202410","THTR365","PRINCIPLES OF PLAYWRITING","002","15203","TR","11:30 AM - 12:50 PM","KUPF 110","Closed","12","12","Lobontiu, Diana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15203",""
"202410","THTR396","INTERNSHIP-THEATER","661","15204","","TBA"," ","Open","19","0","Reyes, Rodney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15204","See department for permission to enroll."
"202410","THTR411","ST: DIRECTING FOR THE CAMERA","002","15899","WF","1:00 PM - 2:20 PM","KUPF 110","Open","15","9","Reyes, Rodney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15899",""
"202410","THTR480","INDEPENDENT THEATRE PRACTICUM","661","15205","","TBA"," ","Closed","0","4","Reyes, Rodney","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15205","Instructor Permission Required"
"202410","THTR483","INDEPENDENT STUDY IN THEATER I","661","15206","","TBA"," ","Open","19","0","Reyes, Rodney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15206","See department for permission to enroll."
"202410","THTR484","INDEPENDENT STUDY THEATER II","661","15207","","TBA"," ","Open","19","1","Reyes, Rodney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15207","See department for permission to enroll."
