"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","TRAN625","PUB TRAN OPERATNS & TECH","852","15208","","TBA"," ","Open","30","10","Chien, I Jy","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15208","Restricted to Virtual Campus Students Only<br />Online Course"
"202410","TRAN625","PUB TRAN OPERATNS & TECH","854","15209","","TBA"," ","Open","25","8","Chien, I Jy","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15209","Restricted to Newark Campus Students Only<br />Online Course"
"202410","TRAN700B","MASTER'S PROJECT","203","15210","","TBA"," ","Open","19","0","Dimitrijevic, Branislav","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15210","See department for permission to enroll."
"202410","TRAN700B","MASTER'S PROJECT","213","15211","","TBA"," ","Open","19","0","Chien, I Jy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15211","See department for permission to enroll."
"202410","TRAN700B","MASTER'S PROJECT","216","15212","","TBA"," ","Open","19","0","Daniel, Janice","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15212","See department for permission to enroll."
"202410","TRAN700B","MASTER'S PROJECT","217","15213","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15213","See department for permission to enroll."
"202410","TRAN700B","MASTER'S PROJECT","392","15214","","TBA"," ","Open","19","0","Bladikas, Athanassios","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15214","See department for permission to enroll."
"202410","TRAN700B","MASTER'S PROJECT","409","15215","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15215","See department for permission to enroll."
"202410","TRAN700B","MASTER'S PROJECT","882","15216","","TBA"," ","Open","19","0","Spasovic, Lazar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15216","See department for permission to enroll."
"202410","TRAN701B","MASTER'S THESIS","203","15217","","TBA"," ","Open","19","0","Dimitrijevic, Branislav","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15217","See department for permission to enroll."
"202410","TRAN701B","MASTER'S THESIS","213","15218","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15218","See department for permission to enroll."
"202410","TRAN701B","MASTER'S THESIS","216","15219","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15219","See department for permission to enroll."
"202410","TRAN701B","MASTER'S THESIS","217","15220","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15220","See department for permission to enroll."
"202410","TRAN701B","MASTER'S THESIS","392","15221","","TBA"," ","Open","19","0","Bladikas, Athanassios","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15221","See department for permission to enroll."
"202410","TRAN701B","MASTER'S THESIS","409","15222","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15222","See department for permission to enroll."
"202410","TRAN701B","MASTER'S THESIS","882","15223","","TBA"," ","Open","19","0","Spasovic, Lazar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15223","See department for permission to enroll."
"202410","TRAN701C","MASTER'S THESIS","203","15224","","TBA"," ","Open","19","0","Dimitrijevic, Branislav","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15224","See department for permission to enroll."
"202410","TRAN701C","MASTER'S THESIS","213","15225","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15225","See department for permission to enroll."
"202410","TRAN701C","MASTER'S THESIS","216","15226","","TBA"," ","Open","19","0","Daniel, Janice","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15226","See department for permission to enroll."
"202410","TRAN701C","MASTER'S THESIS","217","15227","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15227","See department for permission to enroll."
"202410","TRAN701C","MASTER'S THESIS","392","15228","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15228","See department for permission to enroll."
"202410","TRAN701C","MASTER'S THESIS","409","15229","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15229","See department for permission to enroll."
"202410","TRAN701C","MASTER'S THESIS","882","15230","","TBA"," ","Open","19","0","Spasovic, Lazar","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15230","See department for permission to enroll."
"202410","TRAN725","INDEPENDENT STUDY","181","15231","","TBA"," ","Open","19","0","Pennock, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15231","See department for permission to enroll."
"202410","TRAN725","INDEPENDENT STUDY","182","15232","","TBA"," ","Open","19","0","Boufadel, Michel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15232","See department for permission to enroll."
"202410","TRAN725","INDEPENDENT STUDY","198","15233","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15233","See department for permission to enroll."
"202410","TRAN725","INDEPENDENT STUDY","199","15234","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15234","See department for permission to enroll."
"202410","TRAN725","INDEPENDENT STUDY","202","15235","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15235","See department for permission to enroll."
"202410","TRAN725","INDEPENDENT STUDY","203","15236","","TBA"," ","Open","19","1","Dimitrijevic, Branislav","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15236","See department for permission to enroll."
"202410","TRAN725","INDEPENDENT STUDY","213","15237","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15237","See department for permission to enroll."
"202410","TRAN725","INDEPENDENT STUDY","217","15238","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15238","See department for permission to enroll."
"202410","TRAN725","INDEPENDENT STUDY","392","15239","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15239","See department for permission to enroll."
"202410","TRAN752","TRAFFIC CONTROL","852","15240","","TBA"," ","Open","25","13","Besenski, Dejan","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15240","Restricted to Virtual Campus Students Only<br />Online Course"
"202410","TRAN752","TRAFFIC CONTROL","854","15241","","TBA"," ","Open","25","9","Besenski, Dejan","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15241","Restricted to Newark Campus Students Only<br />Online Course"
"202410","TRAN755","INTELLIGENT TRANS SYSTEM","102","15242","W","6:00 PM - 8:50 PM","FMH 314","Open","25","6","Lee, Joyoung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15242",""
"202410","TRAN765","MULTI-MOD FREIGHT TRANS","852","16068","","TBA"," ","Open","20","6","Spasovic, Lazar","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16068","Restricted to Virtual Campus Students Only<br />Online Course"
"202410","TRAN765","MULTI-MOD FREIGHT TRANS","854","16069","","TBA"," ","Open","20","1","Spasovic, Lazar","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16069","Restricted to Newark Campus Students Only<br />Online Course"
"202410","TRAN790A","DOCTORAL DISSERTATION","203","15243","","TBA"," ","Open","19","0","Dimitrijevic, Branislav","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15243","See department for permission to enroll."
"202410","TRAN790A","DOCTORAL DISSERTATION","213","15244","","TBA"," ","Open","19","1","Chien, I Jy","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15244","See department for permission to enroll."
"202410","TRAN790A","DOCTORAL DISSERTATION","216","15245","","TBA"," ","Open","19","0","Daniel, Janice","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15245","See department for permission to enroll."
"202410","TRAN790A","DOCTORAL DISSERTATION","217","15246","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15246","See department for permission to enroll."
"202410","TRAN790A","DOCTORAL DISSERTATION","882","15247","","TBA"," ","Open","19","0","Spasovic, Lazar","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15247","See department for permission to enroll."
"202410","TRAN792B","PRE-DOCTORAL RESEARCH","202","16160","","TBA"," ","Open","19","1","Lee, Joyoung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16160","See department for permission to enroll."
"202410","TRAN792B","PRE-DOCTORAL RESEARCH","203","16234","","TBA"," ","Open","19","1","Dimitrijevic, Branislav","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16234","See department for permission to enroll."
"202410","TRAN792B","PRE-DOCTORAL RESEARCH","216","16159","","TBA"," ","Open","19","1","Daniel, Janice","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16159","See department for permission to enroll."
