"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","USYS725","INDEPENDENT STUDY I","002","15250","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15250","See department for permission to enroll."
"202410","USYS725","INDEPENDENT STUDY I","003","15251","","TBA"," ","Open","19","2","Esperdy, Gabrielle","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15251","See department for permission to enroll."
"202410","USYS725","INDEPENDENT STUDY I","004","15252","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15252","See department for permission to enroll."
"202410","USYS725","INDEPENDENT STUDY I","008","15253","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15253","See department for permission to enroll."
"202410","USYS725","INDEPENDENT STUDY I","012","15254","","TBA"," ","Open","19","0","Kim, Hyojin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15254","See department for permission to enroll."
"202410","USYS725","INDEPENDENT STUDY I","016","15255","","TBA"," ","Open","19","0","Narahara, Taro","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15255","See department for permission to enroll."
"202410","USYS725","INDEPENDENT STUDY I","021","15256","","TBA"," ","Open","19","1","Ko, Won Hee","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15256","See department for permission to enroll."
"202410","USYS725","INDEPENDENT STUDY I","033","15257","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15257","See department for permission to enroll."
"202410","USYS725","INDEPENDENT STUDY I","101","15258","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15258","See department for permission to enroll."
"202410","USYS725","INDEPENDENT STUDY I","103","15259","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15259","See department for permission to enroll."
"202410","USYS725","INDEPENDENT STUDY I","105","15260","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15260","See department for permission to enroll."
"202410","USYS725","INDEPENDENT STUDY I","107","15261","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15261","See department for permission to enroll."
"202410","USYS726","INDEPENDENT STUDY II","004","15262","","TBA"," ","Open","19","0","Esperdy, Gabrielle","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15262","See department for permission to enroll."
"202410","USYS726","INDEPENDENT STUDY II","012","15263","","TBA"," ","Open","19","0","Kim, Hyojin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15263","See department for permission to enroll."
"202410","USYS726","INDEPENDENT STUDY II","016","15264","","TBA"," ","Open","19","0","Narahara, Taro","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15264","See department for permission to enroll."
"202410","USYS726","INDEPENDENT STUDY II","021","15265","","TBA"," ","Open","19","0","Ko, Won Hee","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15265","See department for permission to enroll."
"202410","USYS726","INDEPENDENT STUDY II","107","15266","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15266","See department for permission to enroll."
"202410","USYS790A","DISSERTATION RESEARCH","002","15267","","TBA"," ","Open","19","0","Celik, Zeynep","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15267","See department for permission to enroll."
"202410","USYS790A","DISSERTATION RESEARCH","004","15268","","TBA"," ","Open","19","0","Esperdy, Gabrielle","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15268","See department for permission to enroll."
"202410","USYS790A","DISSERTATION RESEARCH","006","15269","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15269","See department for permission to enroll."
"202410","USYS790A","DISSERTATION RESEARCH","008","15270","","TBA"," ","Open","19","0","Zarzycki, Andrzej","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15270","See department for permission to enroll."
"202410","USYS790A","DISSERTATION RESEARCH","012","15271","","TBA"," ","Open","19","0","Kim, Hyojin","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15271","See department for permission to enroll."
"202410","USYS790A","DISSERTATION RESEARCH","016","15272","","TBA"," ","Open","19","0","Narahara, Taro","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15272","See department for permission to enroll."
