"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","YWCC207","COMPUTING & EFFECTIVE COM","002","15322","M","1:00 PM - 2:20 PM","CKB 310","Closed","25","25","Cervelli, Christine","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15322",""
"202410","YWCC207","COMPUTING & EFFECTIVE COM","004","15323","M","1:00 PM - 2:20 PM","CKB 220","Closed","25","25","Bell, Michele","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15323",""
"202410","YWCC207","COMPUTING & EFFECTIVE COM","006","15324","M","2:30 PM - 3:50 PM","CKB 212","Closed","25","25","Bell, Michele","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15324",""
"202410","YWCC207","COMPUTING & EFFECTIVE COM","008","15325","T","11:30 AM - 12:50 PM","CKB 223","Open","25","24","Nammour, Shannon","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15325",""
"202410","YWCC207","COMPUTING & EFFECTIVE COM","010","15326","T","1:00 PM - 2:20 PM","CKB 214","Closed","25","25","Hennessey, Casey","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15326",""
"202410","YWCC207","COMPUTING & EFFECTIVE COM","012","15327","T","2:30 PM - 3:50 PM","CKB 314","Closed","25","25","Nammour, Shannon","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15327",""
"202410","YWCC207","COMPUTING & EFFECTIVE COM","014","15328","T","2:30 PM - 3:50 PM","CKB 223","Closed","25","25","Kennedy, Niasia","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15328",""
"202410","YWCC207","COMPUTING & EFFECTIVE COM","016","15329","W","1:00 PM - 2:20 PM","CKB 220","Closed","25","25","Clarke, Dominique","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15329",""
"202410","YWCC207","COMPUTING & EFFECTIVE COM","018","15330","W","1:00 PM - 2:20 PM","CKB 223","Closed","25","25","Sims, Deborah","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15330",""
"202410","YWCC207","COMPUTING & EFFECTIVE COM","020","15331","R","10:00 AM - 11:20 AM","CKB 126","Closed","25","25","Kumar, Suresh","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15331",""
"202410","YWCC207","COMPUTING & EFFECTIVE COM","022","15332","R","10:00 AM - 11:20 AM","CKB 341","Closed","25","25","Sims, Deborah","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15332",""
"202410","YWCC207","COMPUTING & EFFECTIVE COM","024","15333","R","11:30 AM - 12:50 PM","CKB 330","Closed","25","25","Cervelli, Christine","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15333",""
"202410","YWCC207","COMPUTING & EFFECTIVE COM","026","15334","R","1:00 PM - 2:20 PM","CKB 220","Closed","25","25","Hennessey, Casey","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=15334",""
